source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD033876-Sample-1	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_179_5.5uL_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_179_5.5uL_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-2	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_179_5.5uL_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_179_5.5uL_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-3	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_179_5.5uL_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_179_5.5uL_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-4	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_253_5.5uL_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_253_5.5uL_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-5	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_253_5.5uL_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_253_5.5uL_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-6	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_253_5.5uL_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_253_5.5uL_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-7	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_493_5.5uL_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_493_5.5uL_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-8	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_493_5.5uL_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_493_5.5uL_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-9	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_493_5.5uL_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_493_5.5uL_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-10	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_623_5.5uL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_623_5.5uL.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-11	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_768_5.5uL_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_768_5.5uL_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-12	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_768_5.5uL_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_768_5.5uL_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-13	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_768_5.5uL_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_768_5.5uL_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-14	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_798_5.5uL_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_798_5.5uL_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-15	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_798_5.5uL_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_798_5.5uL_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-16	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_798_5.5uL_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_798_5.5uL_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-17	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_810_5.5uL_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_810_5.5uL_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-18	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_810_5.5uL_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_810_5.5uL_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD033876-Sample-19	Homo sapiens	heart left ventricle	not available	adult	not available	not available	1	2019_211_IDA_810_5.5uL_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2019_211_IDA_810_5.5uL_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
