source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[treatment]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	characteristics[immunopeptidome enrichment method]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[modification parameters]	comment[ms min mz]	comment[ms max mz]	comment[ms min charge]	comment[ms max charge]	comment[ms2 min mz]	comment[ms2 max mz]	comment[sample preparation batch]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[source name]
donor2_MDM_LChAnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor2	adult	2	incubated with 100 nM factor VIII light chain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor2_MDM_LChAnxA5_R1	proteomic profiling by mass spectrometry	20250218_S10_Donor2_MO_LChAV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor2_MDM_LChAnxA5
donor2_MDM_A2AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor2	adult	2	incubated with 100 nM factor VIII A2 domain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor2_MDM_A2AnxA5_R1	proteomic profiling by mass spectrometry	20250218_S11_Donor2_MO_A2AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor2_MDM_A2AnxA5
donor2_MDM_C2AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor2	adult	2	incubated with 100 nM factor VIII C2 domain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor2_MDM_C2AnxA5_R1	proteomic profiling by mass spectrometry	20250218_S12_Donor2_MO_C2AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor2_MDM_C2AnxA5
donor1_MDM_untreated	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor1	adult	1	untreated	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor1_MDM_untreated_R1	proteomic profiling by mass spectrometry	20250218_S1_Donor1_MO.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor1_MDM_untreated
donor1_MDM_LCh	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor1	adult	1	incubated with 100 nM factor VIII light chain	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor1_MDM_LCh_R1	proteomic profiling by mass spectrometry	20250218_S2_Donor1_MO_LCh.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor1_MDM_LCh
donor1_MDM_AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor1	adult	1	incubated with 100 nM annexin A5	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor1_MDM_AnxA5_R1	proteomic profiling by mass spectrometry	20250218_S3_Donor1_MO_AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor1_MDM_AnxA5
donor1_MDM_LChAnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor1	adult	1	incubated with 100 nM factor VIII light chain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor1_MDM_LChAnxA5_R1	proteomic profiling by mass spectrometry	20250218_S4_Donor1_MO_LChAV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor1_MDM_LChAnxA5
donor1_MDM_A2AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor1	adult	1	incubated with 100 nM factor VIII A2 domain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor1_MDM_A2AnxA5_R1	proteomic profiling by mass spectrometry	20250218_S5_Donor1_MO_A2AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor1_MDM_A2AnxA5
donor1_MDM_C2AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor1	adult	1	incubated with 100 nM factor VIII C2 domain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor1_MDM_C2AnxA5_R1	proteomic profiling by mass spectrometry	20250218_S6_Donor1_MO_C2AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_A	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor1_MDM_C2AnxA5
donor3_MDM_RBC_C2AnxA5	Homo sapiens	blood	macrophage	cell	normal	not available	not available	donor3	adult	3	co-incubated with PMA-treated red blood cells at a 1:100 macrophage to red blood cell ratio preloaded with factor VIII C2 domain-annexin A5 fusion protein	MHC class II protein complex	not available	not applicable	L243 (anti-HLA-DR)	immunoaffinity purification	donor3_MDM_RBC_C2AnxA5_R1	proteomic profiling by mass spectrometry	20250218_S6_MO_RBC_C2AV.raw	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=unspecific cleavage;AC=MS:1001956	label free sample	NT=HCD;AC=MS:1000422	30 NCE	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	300m/z	1600m/z	2	7	200m/z	1400m/z	experiment_B	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	donor3_MDM_RBC_C2AnxA5
