source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[temperature]	characteristics[time point]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[time point]
mash_52C_0min_rep1	Hordeum vulgare	Endosperm	not available	1	52 C	0 min	20160830_001_17_52_0_IDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_001_17_52_0_IDA.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_63C_0min_rep2	Hordeum vulgare	Endosperm	not available	2	63 C	0 min	20160830_002_18_63_0_IDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_002_18_63_0_IDA.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_73C_0min_rep3	Hordeum vulgare	Endosperm	not available	3	73 C	0 min	20160830_003_22_73_0_IDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_003_22_73_0_IDA.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_78C_0min_rep1	Hordeum vulgare	Endosperm	not available	1	78 C	0 min	20160830_004_17_78_0_IDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_004_17_78_0_IDA.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_102C_0min_rep2	Hordeum vulgare	Endosperm	not available	2	102 C	0 min	20160830_005_18_102_0_IDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_005_18_102_0_IDA.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_102C_60min_rep3	Hordeum vulgare	Endosperm	not available	3	102 C	60 min	20160830_006_22_102_60_IDA	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_006_22_102_60_IDA.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	60 min
mash_52C_0min_rep1	Hordeum vulgare	Endosperm	not available	1	52 C	0 min	20160830_007_17_52_0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_007_17_52_0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_52C_20min_rep1	Hordeum vulgare	Endosperm	not available	1	52 C	20 min	20160830_008_17_52_20	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_008_17_52_20.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	20 min
mash_63C_0min_rep1	Hordeum vulgare	Endosperm	not available	1	63 C	0 min	20160830_009_17_63_0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_009_17_63_0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_63C_35min_rep1	Hordeum vulgare	Endosperm	not available	1	63 C	35 min	20160830_010_17_63_35	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_010_17_63_35.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	35 min
mash_73C_0min_rep1	Hordeum vulgare	Endosperm	not available	1	73 C	0 min	20160830_011_17_73_0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_011_17_73_0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_73C_35min_rep1	Hordeum vulgare	Endosperm	not available	1	73 C	35 min	20160830_012_17_73_35	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_012_17_73_35.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	35 min
mash_78C_0min_rep1	Hordeum vulgare	Endosperm	not available	1	78 C	0 min	20160830_013_17_78_0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_013_17_78_0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_78C_20min_rep1	Hordeum vulgare	Endosperm	not available	1	78 C	20 min	20160830_014_17_78_20	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_014_17_78_20.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	20 min
mash_102C_0min_rep1	Hordeum vulgare	Endosperm	not available	1	102 C	0 min	20160830_015_17_102_0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_015_17_102_0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_102C_30min_rep1	Hordeum vulgare	Endosperm	not available	1	102 C	30 min	20160830_016_17_102_30	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_016_17_102_30.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	30 min
mash_102C_60min_rep1	Hordeum vulgare	Endosperm	not available	1	102 C	60 min	20160830_017_17_102_60	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_017_17_102_60.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	60 min
mash_52C_0min_rep2	Hordeum vulgare	Endosperm	not available	2	52 C	0 min	20160830_018_18_52_0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_018_18_52_0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_52C_20min_rep2	Hordeum vulgare	Endosperm	not available	2	52 C	20 min	20160830_019_18_52_20	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_019_18_52_20.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	20 min
mash_63C_0min_rep2	Hordeum vulgare	Endosperm	not available	2	63 C	0 min	20160830_020_18_63_0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_020_18_63_0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_63C_35min_rep2	Hordeum vulgare	Endosperm	not available	2	63 C	35 min	20160830_021_18_63_35	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_021_18_63_35.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	35 min
mash_73C_0min_rep2	Hordeum vulgare	Endosperm	not available	2	73 C	0 min	20160830_022_18_73_0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_022_18_73_0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	0 min
mash_73C_35min_rep2	Hordeum vulgare	Endosperm	not available	2	73 C	35 min	20160830_023_18_73_35	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	20160830_023_18_73_35.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	35 min
