source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[ms1 analyzer type]	comment[ms2 analyzer type]	comment[quantification]	factor value[time point]	factor value[cdk9 expression]	factor value[antibody]
IP_1_CDK9	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 01	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	IP_1_CDK9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-CDK9 (F-6 Santa Cruz)
IP_1_CDK9_20200207115951	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 02	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	2	IP_1_CDK9_20200207115951.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-CDK9 (F-6 Santa Cruz)
IP_2_CDK9	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 03	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	IP_2_CDK9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-CDK9 (F-6 Santa Cruz)
IP_2_CDK9_20200209092514	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 04	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	2	IP_2_CDK9_20200209092514.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-CDK9 (F-6 Santa Cruz)
IP_3_CDK9	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 05	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	IP_3_CDK9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-CDK9 (F-6 Santa Cruz)
IP_3_CDK9_20200209145052	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 06	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	2	IP_3_CDK9_20200209145052.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-CDK9 (F-6 Santa Cruz)
IP_1_GFP	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 07	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	IP_1_GFP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-GFP (IgG control)
IP_1_GFP_20200209064224	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 08	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	2	IP_1_GFP_20200209064224.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-GFP (IgG control)
IP_2_GFP	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 09	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	IP_2_GFP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-GFP (IgG control)
IP_2_GFP_20200209120804	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 10	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	2	IP_2_GFP_20200209120804.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	0 day	Wild-type	anti-GFP (IgG control)
