source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[treatment]	characteristics[strain]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
wevan_I170925_BXD101_CD_ET1425_SW_Run010	Mus musculus	Liver	normal	1	control diet	BXD101	wevan_I170925_BXD101_CD_ET1425_SW_Run010	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_BXD101_CD_ET1425_SW_Run010.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I170925_BXD102_HF_ET1365_SW_Run007	Mus musculus	Liver	normal	1	high fat diet	BXD102	wevan_I170925_BXD102_HF_ET1365_SW_Run007	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_BXD102_HF_ET1365_SW_Run007.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I170925_BXD29_HF_ET1037_SW_Run009	Mus musculus	Liver	normal	1	high fat diet	BXD29	wevan_I170925_BXD29_HF_ET1037_SW_Run009	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_BXD29_HF_ET1037_SW_Run009.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I170925_BXD48a_CD_ET1189_SW_Run011	Mus musculus	Liver	normal	1	control diet	BXD48a	wevan_I170925_BXD48a_CD_ET1189_SW_Run011	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_BXD48a_CD_ET1189_SW_Run011.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I170925_BXD61_CD_ET1725_SW_Run005	Mus musculus	Liver	normal	1	control diet	BXD61	wevan_I170925_BXD61_CD_ET1725_SW_Run005	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_BXD61_CD_ET1725_SW_Run005.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I170925_BXD61_HF_ET1721_SW_Run004	Mus musculus	Liver	normal	1	high fat diet	BXD61	wevan_I170925_BXD61_HF_ET1721_SW_Run004	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_BXD61_HF_ET1721_SW_Run004.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I170925_BXD63_HF_ET1715_SW_Run003	Mus musculus	Liver	normal	1	high fat diet	BXD63	wevan_I170925_BXD63_HF_ET1715_SW_Run003	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_BXD63_HF_ET1715_SW_Run003.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I170925_BXD65b_CD_ET1710_SW_Run008	Mus musculus	Liver	normal	1	control diet	BXD65b	wevan_I170925_BXD65b_CD_ET1710_SW_Run008	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_BXD65b_CD_ET1710_SW_Run008.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	control diet
wevan_I170925_BXD65b_HF_ET1707_SW_Run006	Mus musculus	Liver	normal	1	high fat diet	BXD65b	wevan_I170925_BXD65b_HF_ET1707_SW_Run006	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_BXD65b_HF_ET1707_SW_Run006.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
wevan_I170925_BXD66_HF_ET1560_SW_Run001	Mus musculus	Liver	normal	1	high fat diet	BXD66	wevan_I170925_BXD66_HF_ET1560_SW_Run001	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	wevan_I170925_BXD66_HF_ET1560_SW_Run001.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	high fat diet
