source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[depth]	characteristics[elevation]	characteristics[soil type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[metagenome accession]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[depth]
ARADS_H1_top_10-20cm	ARADS_H1_top_10-20cm	NT=soil metagenome;AC=NCBITaxon:410658	not applicable	not applicable	not applicable	ARADS_2019	NT=soil;AC=ENVO:00001998	NT=soil;AC=ENVO:00001998	NT=Region of Atacama;AC=GAZ:00004648 (24.101564 S, 70.1377 W; near Yungay, Chile)	2019-09	robotic drill; pooled depth intervals from hole H1; SDS-TCA extraction; SDS-PAGE stacking-gel concentration; in-gel trypsin digest	15 cm	not available	NT=clay soil;AC=ENVO:00002262	1	19-161_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	not available	not available	1	1	19-161_1.raw	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	15 cm
ARADS_extraction_blank	ARADS_extraction_blank	not applicable	not applicable	not applicable	not applicable	ARADS_2019	NT=soil;AC=ENVO:00001998	not applicable	not applicable	2019-09	blank SDS-TCA extraction (buffers only; no soil); SDS-PAGE stacking-gel concentration; in-gel trypsin digest	not applicable	not applicable	not applicable	1	19-161_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	not available	not available	1	1	19-161_2.raw	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	not applicable
ARADS_H3_bottom_40-80cm	ARADS_H3_bottom_40-80cm	NT=soil metagenome;AC=NCBITaxon:410658	not applicable	not applicable	not applicable	ARADS_2019	NT=soil;AC=ENVO:00001998	NT=soil;AC=ENVO:00001998	NT=Region of Atacama;AC=GAZ:00004648 (24.101564 S, 70.1377 W; near Yungay, Chile)	2019-09	robotic drill; pooled depth intervals from hole H3; SDS-TCA extraction; SDS-PAGE stacking-gel concentration; in-gel trypsin digest	60 cm	not available	NT=clay soil;AC=ENVO:00002262	1	19-161_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	not available	not available	1	1	19-161_3.raw	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	60 cm
ARADS_H1A_middle_20-50cm	ARADS_H1A_middle_20-50cm	NT=soil metagenome;AC=NCBITaxon:410658	not applicable	not applicable	not applicable	ARADS_2019	NT=soil;AC=ENVO:00001998	NT=soil;AC=ENVO:00001998	NT=Region of Atacama;AC=GAZ:00004648 (24.101564 S, 70.1377 W; near Yungay, Chile)	2019-09	robotic drill; pooled depth intervals from hole H1A; SDS-TCA extraction; SDS-PAGE stacking-gel concentration; in-gel trypsin digest	35 cm	not available	NT=clay soil;AC=ENVO:00002262	1	19-161_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 NCE	not available	not available	1	1	19-161_4.raw	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	35 cm
