source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
F1	F1	Human saliva metagenome	Saliva	not applicable	Lung cancer	Free-Flow_Isoelectric_Focusing_Based_Metaproteomics_Workflow_Facilitates_the_Identification_and_Characterization_of_Human_Salivary_Microbiome_for_Lung_Cancer	Saliva	Saliva	not available	not available	not available	not available	1	F1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
F2	F2	Human saliva metagenome	Saliva	not applicable	Lung cancer	Free-Flow_Isoelectric_Focusing_Based_Metaproteomics_Workflow_Facilitates_the_Identification_and_Characterization_of_Human_Salivary_Microbiome_for_Lung_Cancer	Saliva	Saliva	not available	not available	not available	not available	1	F2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
F3	F3	Human saliva metagenome	Saliva	not applicable	Lung cancer	Free-Flow_Isoelectric_Focusing_Based_Metaproteomics_Workflow_Facilitates_the_Identification_and_Characterization_of_Human_Salivary_Microbiome_for_Lung_Cancer	Saliva	Saliva	not available	not available	not available	not available	1	F3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
F4	F4	Human saliva metagenome	Saliva	not applicable	Lung cancer	Free-Flow_Isoelectric_Focusing_Based_Metaproteomics_Workflow_Facilitates_the_Identification_and_Characterization_of_Human_Salivary_Microbiome_for_Lung_Cancer	Saliva	Saliva	not available	not available	not available	not available	1	F4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
F5	F5	Human saliva metagenome	Saliva	not applicable	Lung cancer	Free-Flow_Isoelectric_Focusing_Based_Metaproteomics_Workflow_Facilitates_the_Identification_and_Characterization_of_Human_Salivary_Microbiome_for_Lung_Cancer	Saliva	Saliva	not available	not available	not available	not available	1	F5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
F6	F6	Human saliva metagenome	Saliva	not applicable	Lung cancer	Free-Flow_Isoelectric_Focusing_Based_Metaproteomics_Workflow_Facilitates_the_Identification_and_Characterization_of_Human_Salivary_Microbiome_for_Lung_Cancer	Saliva	Saliva	not available	not available	not available	not available	1	F6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
F7	F7	Human saliva metagenome	Saliva	not applicable	Lung cancer	Free-Flow_Isoelectric_Focusing_Based_Metaproteomics_Workflow_Facilitates_the_Identification_and_Characterization_of_Human_Salivary_Microbiome_for_Lung_Cancer	Saliva	Saliva	not available	not available	not available	not available	1	F7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
F8	F8	Human saliva metagenome	Saliva	not applicable	Lung cancer	Free-Flow_Isoelectric_Focusing_Based_Metaproteomics_Workflow_Facilitates_the_Identification_and_Characterization_of_Human_Salivary_Microbiome_for_Lung_Cancer	Saliva	Saliva	not available	not available	not available	not available	1	F8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
N1	N1	Human saliva metagenome	Saliva	not applicable	Lung cancer	Free-Flow_Isoelectric_Focusing_Based_Metaproteomics_Workflow_Facilitates_the_Identification_and_Characterization_of_Human_Salivary_Microbiome_for_Lung_Cancer	Saliva	Saliva	not available	not available	not available	not available	1	N1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	N1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
N2	N2	Human saliva metagenome	Saliva	not applicable	Lung cancer	Free-Flow_Isoelectric_Focusing_Based_Metaproteomics_Workflow_Facilitates_the_Identification_and_Characterization_of_Human_Salivary_Microbiome_for_Lung_Cancer	Saliva	Saliva	not available	not available	not available	not available	1	N2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	N2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Saliva
