source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sample type]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample type]
hgsoc_s27	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	27	tumor	CORE_SP_200514_DIA_S27	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	CORE_SP_200514_DIA_S27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s27	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	27	tumor	CORE_SP_200514_DIA_S27_20200613061900	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	3	1	CORE_SP_200514_DIA_S27_20200613061900.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s27	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	27	tumor	CORE_SP_200514_DIA_S27_Repeat	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	CORE_SP_200514_DIA_S27_Repeat.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s28	Homo sapiens	Epithelial ovarian cancer cell	not available	28	pool	CORE_SP_200514_DIA_S28	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	CORE_SP_200514_DIA_S28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	pool
hgsoc_s28	Homo sapiens	Epithelial ovarian cancer cell	not available	28	pool	CORE_SP_200514_DIA_S28_20200609122915	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	CORE_SP_200514_DIA_S28_20200609122915.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	pool
hgsoc_s28	Homo sapiens	Epithelial ovarian cancer cell	not available	28	pool	CORE_SP_200514_DIA_S28_20200613090100	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	3	1	CORE_SP_200514_DIA_S28_20200613090100.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	pool
hgsoc_s30	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	30	tumor	CORE_SP_200514_DIA_S30	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	CORE_SP_200514_DIA_S30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s30	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	30	tumor	CORE_SP_200514_DIA_S30_20200613142502	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	3	1	CORE_SP_200514_DIA_S30_20200613142502.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s30	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	30	tumor	CORE_SP_200514_DIA_S30_Repeat	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	CORE_SP_200514_DIA_S30_Repeat.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s31	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	31	tumor	CORE_SP_200514_DIA_S31	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	CORE_SP_200514_DIA_S31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s31	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	31	tumor	CORE_SP_200514_DIA_S31_Repeat	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	CORE_SP_200514_DIA_S31_Repeat.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s32	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	32	tumor	CORE_SP_200514_DIA_S32	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	CORE_SP_200514_DIA_S32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s32	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	32	tumor	CORE_SP_200514_DIA_S32_Repeat	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	CORE_SP_200514_DIA_S32_Repeat.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s33	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	33	tumor	CORE_SP_200514_DIA_S33	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	CORE_SP_200514_DIA_S33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s33	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	33	tumor	CORE_SP_200514_DIA_S33_Repeat	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	CORE_SP_200514_DIA_S33_Repeat.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s36	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	36	tumor	CORE_SP_200514_DIA_S36	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	CORE_SP_200514_DIA_S36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
hgsoc_s36	Homo sapiens	Epithelial ovarian cancer cell	malignant neoplasm of ovary	36	tumor	CORE_SP_200514_DIA_S36_Repeat	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	CORE_SP_200514_DIA_S36_Repeat.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	tumor
