source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
UninfectedCtrl_2h_PanethCells_1_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Uninfected	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6462	1	TTU_MB_24932_0-1_21092025_9-24-2025_6462.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
UninfectedCtrl_2h_PanethCells_2_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Uninfected	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6463	1	TTU_MB_24932_0-2_21092025_9-24-2025_6463.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
UninfectedCtrl_2h_PanethCells_3_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Uninfected	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6469	1	TTU_MB_24932_0-3_21092025_9-24-2025_6469.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
UninfectedCtrl_2h_PanethCells_4_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Uninfected	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6472	1	TTU_MB_24932_0-4_21092025_9-24-2025_6472.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_2h_PanethCells_1_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6466	1	TTU_MB_24932_12-1_21092025_9-24-2025_6466.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_2h_PanethCells_2_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6467	1	TTU_MB_24932_12-2_21092025_9-24-2025_6467.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_2h_PanethCells_3_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6464	1	TTU_MB_24932_12-3_21092025_9-24-2025_6464.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_2h_PanethCells_4_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6471	1	TTU_MB_24932_12-4_21092025_9-24-2025_6471.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_12h_PanethCells_1_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6468	1	TTU_MB_24932_2-1_21092025_9-24-2025_6468.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Infected_12h_PanethCells_2_DIAProteomics	NT=Mus musculus;AC=NCBITaxon:10090	small intestine	Paneth cells	Infected with S. Typhimurium	not available	not available years	not available	1	not available	Proteomics_DIA	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Ultra	NT=label free sample;AC=MS:1002038	trypsin	6461	1	TTU_MB_24932_2-2_21092025_9-24-2025_6461.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
