accession	verdict	suggested_organism_part	suggested_cell_type	reason	organism_group	repo_source	fetch_status	repo_organism_parts	repo_organisms	text_tissue_hints	sdrf_organism_part	sdrf_organism	sdrf_cell_type	title	pubmed	repo_url
IPX0002831025	fetch_failed			http_404	multicellular	none	http_404				not applicable	homo sapiens	not available			https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=IPX0002831025
IPX0004073001	fetch_failed			http_404	multicellular	none	http_404				not applicable	homo sapiens	not available			https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=IPX0004073001
JPST000764	fetch_failed			http_404	microbe_or_unicellular	none	http_404				not available	metagenome	not applicable			https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=JPST000764
JPST001281	fetch_failed			http_404	multicellular	none	http_404				not available	Homo sapiens	not applicable			https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=JPST001281
JPST003461	fetch_failed			http_404	microbe_or_unicellular	none	http_404				not available	Lacticaseibacillus rhamnosus	not applicable			https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=JPST003461
MSV000078958	stay_not_available			repository has no organism part and no tissue wording in title/description	host_plus_microbe	MassIVE	ok				not applicable	human gut metagenome	not applicable	Integrated metagenomics/metaproteomics reveals human host-microbiota signatures of Crohn's disease		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000078958
MSV000079035	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Metaproteomics database searching		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000079035
MSV000079242	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Colonic metaproteomic signatures of active bacteria and the host in obesity		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000079242
MSV000079761	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not applicable	Saccharomyces cerevisiae	not applicable	Yeast S. Cerevisiae 1-to-1 SILAC Benchmark Dataset		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000079761
MSV000079878	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Integrating biogeochemistry with multi-omic sequence information in a model oxygen minimum zone		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000079878
MSV000079927	possible_from_text	urine; bladder		no structured organism part; title/description/keywords mention tissue	multicellular	MassIVE	ok			urine; bladder	not available	Homo sapiens	not applicable	A Metaproteomics Approach to Elucidate Host and Pathogen Protein Expression during Catheter-Associated Urinary Tract Infections		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000079927
MSV000080565	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not applicable	feces metagenome		Genome-resolved metaproteomic characterization of preterm infant gut microbiota development reveals core metabolic functions and variability during early-life		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000080565
MSV000080763	possible_from_text	saliva		no structured organism part; title/description/keywords mention tissue	multicellular	MassIVE	ok			saliva	not available	Homo sapiens	not applicable	Metaproteomic profiling of saliva in subjects with periodontitis, dental caries and orally healthy controls		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000080763
MSV000082113	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	LongitudnalIBD_Metaproteomics_MetagenomeDB		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000082113
MSV000082408	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok			leaf	not available	metagenome	not applicable	Metagenomic and metaproteomic insights into bacterial communities in leaf-cutter ant fungus gardens		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000082408
MSV000082651	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Metaproteomic analysis of mouse gut microbiota in the early life: taxonomic, functional and quantitative analysis to evaluate breastfeeding modulation		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000082651
MSV000082943	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Compil 2.0		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000082943
MSV000083891	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok			serum	not available	metagenome	not applicable	High fat diet response metaproteomics		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000083891
MSV000084137	possible_from_text	saliva		no structured organism part; title/description/keywords mention tissue	multicellular	MassIVE	ok			saliva	not available	Homo sapiens	not applicable	Metaproteomics Analysis of Microbial Diversity of Human Saliva and Tongue Dorsum in Young Healthy Individuals		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000084137
MSV000084258	possible_from_text	teeth		no structured organism part; title/description/keywords mention tissue	multicellular	MassIVE	ok			teeth	not available	Homo sapiens	not applicable	Metaproteomic analysis of dental calculus from Scottish prisoners from the Battle of Dunbar (1650)		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000084258
MSV000084284	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	MassIVE	ok				not available	Homo sapiens	not applicable	Metaproteomic analysis of dental calculus from Whitehawk Camp		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000084284
MSV000084484	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	MassIVE	ok				not available	Homo sapiens	not applicable	Mapping microbial bile acid transformations along the murine gut		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000084484
MSV000085232	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Metaproteomics investigation on the gut microbiota of children affected by Autism Spectrum Disorder		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000085232
MSV000085993	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Benefits of iterative searches of large databases to interpret large human gut metaproteomic datasets		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000085993
MSV000086096	stay_not_available			repository has no organism part and no tissue wording in title/description	host_plus_microbe	MassIVE	ok				not applicable	human gut metagenome		Metaproteome of preterm infant gut microbiome		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000086096
MSV000086206	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not applicable	Escherichia coli	not applicable	GNPS - LC-MS viewer Example Data E. coli Nissel		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000086206
MSV000086336	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not applicable	soil metagenome	not applicable	Soil metaproteomics data analysis based on de novo sequencing with the deep learning-based Kaiko model		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000086336
MSV000086551	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Formation and characterization of emergent microbial communities		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000086551
MSV000087874	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	MassIVE	ok				not available	Homo sapiens	not applicable	Contrasting proteomic responses of adult and larval coral to high temperatures		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000087874
MSV000088319	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Metaproteomics reveals enzymatic strategies deployed by anaerobic microbiomes to maintain lignocellulose deconstruction at high solids		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000088319
MSV000088566	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok			root	not available	metagenome	not applicable	Development of an experimental approach to achieve spatially resolved plant root-associated metaproteomics using an agar-plate system		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000088566
MSV000089443	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	16 mouse gut microbiota collected from 8 mice at two time points shortly after weaning		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000089443
MSV000089691	stay_not_available			repository has no organism part and no tissue wording in title/description	host_plus_microbe	MassIVE	ok				not applicable	human gut metagenome	not applicable	Metaproteomic investigation on T1D children at the onset		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000089691
MSV000089755	stay_not_available			repository has no organism part and no tissue wording in title/description	multicellular	MassIVE	ok				not available	Homo sapiens	not applicable	Impact of different oral treatments on the composition of the supragingival plaque microbiome		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000089755
MSV000091045	stay_not_available			repository has no organism part and no tissue wording in title/description	host_plus_microbe	MassIVE	ok				not applicable	human gut metagenome	not applicable	Characterisation of the gut microbiota metaproteome in patients affected by the Williams Beuren syndrome		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000091045
MSV000091780	stay_not_applicable_microbe			no repository organism part; unicellular/microbe/metagenome	microbe_or_unicellular	MassIVE	ok				not available	metagenome	not applicable	Fine-scale depth distributions of metagenome-assembled genomes, liquid water availability, and seasonal bacterial abundance in the permafrost active layer of Svalbard		https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000091780
