accession	sdrf_file	method	organism_part	n_rows_changed
PXD000774	PXD000774.sdrf.tsv	uniform	mitral valve	12
PXD000902	PXD000902.sdrf.tsv	uniform	egg	74
PXD002266	PXD002266.sdrf.tsv	uniform	blood	216
PXD003823	PXD003823.sdrf.tsv	uniform	whole organism	7
PXD004397	PXD004397.sdrf.tsv	uniform	mitral valve	411
PXD005526	PXD005526.sdrf.tsv	uniform	cerebellum	1096
PXD005649	PXD005649.sdrf.tsv	uniform	whole organism	3
PXD005843	PXD005843.sdrf.tsv	uniform	retina	30
PXD006366	PXD006366.sdrf.tsv	uniform	saliva	32
PXD008119	PXD008119.sdrf.tsv	uniform	blood	12
PXD008852	PXD008852.sdrf.tsv	uniform	adipose tissue	51
PXD009525	PXD009525.sdrf.tsv	uniform	vitreous humor	3
PXD013230	PXD013230.sdrf.tsv	uniform	heart	90
PXD015607	PXD015607.sdrf.tsv	uniform	pericardial fluid	20
PXD016186	PXD016186.sdrf.tsv	uniform	heart	24
PXD020406	PXD020406.sdrf.tsv	uniform	aorta	176
PXD023506	PXD023506.sdrf.tsv	uniform	heart	11
PXD024156	PXD024156.sdrf.tsv	uniform	heart	23
PXD025555	PXD025555.sdrf.tsv	uniform	heart	797
PXD026558	PXD026558.sdrf.tsv	uniform	heart	112
PXD028158	PXD028158.sdrf.tsv	uniform	adipose tissue	10
PXD031786	PXD031786.sdrf.tsv	uniform	tooth	17
PXD033119	PXD033119.sdrf.tsv	uniform	heart	24
PXD034386	PXD034386.sdrf.tsv	uniform	aortic valve	12
PXD035981	PXD035981.sdrf.tsv	uniform	feces	97
PXD036640	PXD036640.sdrf.tsv	uniform	blood plasma	52
PXD036933	PXD036933.sdrf.tsv	uniform	heart	96
PXD037623	PXD037623.sdrf.tsv	uniform	heart	9
PXD037987	PXD037987.sdrf.tsv	uniform	heart	12
PXD040273	PXD040273.sdrf.tsv	uniform	gill	4
PXD041167	PXD041167.sdrf.tsv	uniform	heart	16
PXD042946	PXD042946.sdrf.tsv	uniform	feces	30
PXD045956	PXD045956.sdrf.tsv	uniform	heart	66
PXD049406	PXD049406.sdrf.tsv	uniform	feces	26
PXD054266	PXD054266.sdrf.tsv	uniform	heart	86
PXD054712	PXD054712.sdrf.tsv	uniform	heart	40
PXD055204	PXD055204.sdrf.tsv	uniform	feces	5
PXD059764	PXD059764.sdrf.tsv	uniform	feces	40
PXD059855	PXD059855.sdrf.tsv	uniform	heart	4
PXD063632	PXD063632.sdrf.tsv	uniform	feces	9
PXD065166	PXD065166.sdrf.tsv	uniform	feces	90
PXD065280	PXD065280.sdrf.tsv	uniform	heart	36
PXD065321	PXD065321.sdrf.tsv	uniform	sputum	60
PXD066732	PXD066732.sdrf.tsv	uniform	feces	34
PXD067235	PXD067235.sdrf.tsv	uniform	feces	99
PXD068087	PXD068087.sdrf.tsv	uniform	heart	20
PXD069517	PXD069517.sdrf.tsv	uniform	feces	28
PXD080896	PXD080896.sdrf.tsv	uniform	blood plasma	40
PXD008205	PXD008205.sdrf.tsv	filemap	heart,not applicable	9
PXD011142	PXD011142.sdrf.tsv	filemap	gastrocnemius,heart,liver,quadriceps	32
PXD020864	PXD020864.sdrf.tsv	filemap	adipose tissue,brain,heart,kidney,liver,lung,skeletal muscle tissue,spleen,testis	39
PXD021762	PXD021762.sdrf.tsv	filemap	heart,liver	33
PXD051406	PXD051406.sdrf.tsv	filemap	aorta,heart	42
PXD052143	PXD052143.sdrf.tsv	filemap	heart,tibialis anterior	232
PXD055505	PXD055505.sdrf.tsv	filemap	blood plasma,brain,heart,intestine,kidney,liver,lung,spleen	240
PXD027772	PXD027772.sdrf.tsv	filemap	heart,skeletal muscle tissue	44
