source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[individual]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
255_OD_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P35	male	Tissue	1	not available	adenoma	255_OD	run 1	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	1	1	20220511_306_OD_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
255_OD_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P35	male	Tissue	2	not available	adenoma	255_OD	run 2	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	2	2	20220511_325_OS_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
255_OS_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P35	male	Tissue	3	not available	adenoma	255_OS	run 3	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	3	1	20220511_262_OD_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
255_OS_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P35	male	Tissue	4	not available	adenoma	255_OS	run 4	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	4	2	20220511_336_OD_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
262_OD_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P35	male	Tissue	5	not available	adenoma	262_OD	run 5	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	5	1	20220511_306_OS_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
262_OD_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P35	male	Tissue	6	not available	adenoma	262_OD	run 6	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	6	2	20220511_289_OD_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
262_OS_CTL_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P35	male	Tissue	7	not available	adenoma	262_OS	run 7	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	7	1	20220511_333_OD_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
262_OS_CTL_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	NT=normal;AC=PATO:0000461	not applicable	adult	P35	male	Tissue	8	not available	adenoma	262_OS	run 8	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	8	2	20220511_311_OS_CTL_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
289_OD_LIM_T1	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P35	female	Tissue	9	not available	adenoma	289_OD	run 9	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	9	1	20220511_311_OD_LIM_T2.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
289_OD_LIM_T2	NT=Mus musculus;AC=NCBITaxon:10090	Retina	not applicable	Myopia	not applicable	adult	P35	female	Tissue	10	not available	adenoma	289_OD	run 10	SWATH-MS	Data-independent acquisition	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=CID; AC =MS:1000133	20 ppm	20 ppm	10	2	20220511_306_OD_LIM_T1.wiff	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
