source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
TurboID_MFL_WT1	Mus musculus	fetal liver	liver	disease free	not available	fetus	not available	not available	1	not available	run1	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	TurboID_MFL_WT1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
TurboID_MFL_WT2	Mus musculus	fetal liver	liver	disease free	not available	fetus	not available	not available	2	not available	run2	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	2	TurboID_MFL_WT2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
TurboID_MFL_WT3	Mus musculus	fetal liver	liver	disease free	not available	fetus	not available	not available	3	not available	run3	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	3	TurboID_MFL_WT3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
TurboID_MFL_TENT5C_GFP1	Mus musculus	fetal liver	liver	disease free	not available	fetus	not available	not available	1	not available	run4	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	4	TurboID_MFL_TENT5C_GFP1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
TurboID_MFL_TENT5C_GFP2	Mus musculus	fetal liver	liver	disease free	not available	fetus	not available	not available	2	not available	run5	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	5	TurboID_MFL_TENT5C_GFP2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
TurboID_MFL_TENT5C_GFP3	Mus musculus	fetal liver	liver	disease free	not available	fetus	not available	not available	3	not available	run6	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	6	TurboID_MFL_TENT5C_GFP3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
