source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[stress]
sample 1	Euglena gracilis	not applicable	not applicable	not applicable	1	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220706_EuglenaD1	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	darkness
sample 1	Euglena gracilis	not applicable	not applicable	not applicable	2	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220706_EuglenaD2	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	darkness
sample 1	Euglena gracilis	not applicable	not applicable	not applicable	3	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220706_EuglenaD3	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	darkness
sample 1	Euglena gracilis	not applicable	not applicable	not applicable	4	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220706_EuglenaD4	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	darkness
sample 1	Euglena gracilis	not applicable	not applicable	not applicable	5	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220706_EuglenaD5a	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	darkness
sample 2	Euglena gracilis	not applicable	not applicable	not applicable	1	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220706_EuglenaL1	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	light
sample 2	Euglena gracilis	not applicable	not applicable	not applicable	2	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220706_EuglenaL2	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	light
sample 2	Euglena gracilis	not applicable	not applicable	not applicable	3	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220706_EuglenaL3	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	light
sample 2	Euglena gracilis	not applicable	not applicable	not applicable	4	run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220706_EuglenaL4	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	light
sample 2	Euglena gracilis	not applicable	not applicable	not applicable	5	run 10	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	220706_EuglenaL5	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	light
