source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ER_120602_WTvsQuad_total_dimeth_14	Arabidopsis thaliana	Photosynthetic cell	1	ER_120602_WTvsQuad_total_dimeth_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	ER_120602_WTvsQuad_total_dimeth_14.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Photosynthetic cell
ER_120411_DMSOsol_p5ug_07	Arabidopsis thaliana	Photosynthetic cell	1	ER_120411_DMSOsol_p5ug_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	ER_120411_DMSOsol_p5ug_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Photosynthetic cell
ER_L08404_120604_GluCandTryp_negSel_05	Arabidopsis thaliana	Photosynthetic cell	1	ER_L08404_120604_GluCandTryp_negSel_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	ER_L08404_120604_GluCandTryp_negSel_05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Photosynthetic cell
ER_130513_tailsQC_stroma_1to5ratio_07	Arabidopsis thaliana	Photosynthetic cell	1	ER_130513_tailsQC_stroma_1to5ratio_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	ER_130513_tailsQC_stroma_1to5ratio_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Photosynthetic cell
ER_L08998_WTvsQuadTot02_NegSel_07	Arabidopsis thaliana	Photosynthetic cell	1	ER_L08998_WTvsQuadTot02_NegSel_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	ER_L08998_WTvsQuadTot02_NegSel_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Photosynthetic cell
ER_L08989_WTstr01_NegSel_07	Arabidopsis thaliana	Photosynthetic cell	1	ER_L08989_WTstr01_NegSel_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	ER_L08989_WTstr01_NegSel_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Photosynthetic cell
ER_L08411_120604_Gel3_negSel_26	Arabidopsis thaliana	Photosynthetic cell	1	ER_L08411_120604_Gel3_negSel_26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	ER_L08411_120604_Gel3_negSel_26.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Photosynthetic cell
ER_L08412_120604_Gel4_negSel_29	Arabidopsis thaliana	Photosynthetic cell	1	ER_L08412_120604_Gel4_negSel_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	ER_L08412_120604_Gel4_negSel_29.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Photosynthetic cell
ER_L08379_120411_NegSel_GuHClsol_p05ul_16	Arabidopsis thaliana	Photosynthetic cell	1	ER_L08379_120411_NegSel_GuHClsol_p05ul_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	ER_L08379_120411_NegSel_GuHClsol_p05ul_16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Photosynthetic cell
ER_120602_WTvsQuad_stroma_dimeth_11	Arabidopsis thaliana	Photosynthetic cell	1	ER_120602_WTvsQuad_stroma_dimeth_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Trypsin;AC=MS:1001251	1	1	ER_120602_WTvsQuad_stroma_dimeth_11.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Photosynthetic cell
