source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PXD031424-Sample-1	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-2	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-3	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_03.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-4	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_04.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-5	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_05.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-6	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_06.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-7	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_07.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-8	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_08.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-9	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_09.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-10	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-11	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-12	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_12.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-13	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_13.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-14	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_14.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-15	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_15.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-16	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_16.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-17	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_17.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD031424-Sample-18	Homo sapiens	not available	regular ventricular cardiac myocyte	not available	1	G_Weninger_120320_030420_DDA_L1_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	G_Weninger_120320_030420_DDA_L1_18.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
