source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[organism part]
2CID_Histone	homo sapiens	serum	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	not available	not available	2CID_Histone	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1	1	2CID_Histone.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001118/2CID_Histone.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	serum
2CID_Histone_for_7Tandem	homo sapiens	serum	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	not available	not available	2CID_Histone_for_7Tandem	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1	1	2CID_Histone_for_7Tandem.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001118/2CID_Histone_for_7Tandem.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	serum
1HCD_Histone	homo sapiens	serum	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	not available	not available	1HCD_Histone	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1	1	1HCD_Histone.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001118/1HCD_Histone.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	serum
1HCD_Histone_for_7Tandem	homo sapiens	serum	HeLa cell	not available	HeLa	CVCL_0030	HeLa	1	not available	not available	1HCD_Histone_for_7Tandem	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1	1	1HCD_Histone_for_7Tandem.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001118/1HCD_Histone_for_7Tandem.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	serum
