source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[source name]
A375_DMSO	Homo sapiens	not applicable	A375	melanocyte	cutaneous melanoma	cell	not available	not available	A375	not available	1	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	A375_dmso_1	proteomic profiling by mass spectrometry	A375_dmso_1_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_DMSO
A375_DMSO	Homo sapiens	not applicable	A375	melanocyte	cutaneous melanoma	cell	not available	not available	A375	not available	2	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	A375_dmso_2	proteomic profiling by mass spectrometry	A375_dmso_2_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_DMSO
A375_DMSO	Homo sapiens	not applicable	A375	melanocyte	cutaneous melanoma	cell	not available	not available	A375	not available	3	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	A375_dmso_3	proteomic profiling by mass spectrometry	A375_dmso_3_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_DMSO
A375_100nM	Homo sapiens	not applicable	A375	melanocyte	cutaneous melanoma	cell	not available	not available	A375	not available	1	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	A375_100nM_1	proteomic profiling by mass spectrometry	A375_100nM_1_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_100nM
A375_100nM	Homo sapiens	not applicable	A375	melanocyte	cutaneous melanoma	cell	not available	not available	A375	not available	2	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	A375_100nm_2	proteomic profiling by mass spectrometry	A375_100nm_2_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_100nM
A375_100nM	Homo sapiens	not applicable	A375	melanocyte	cutaneous melanoma	cell	not available	not available	A375	not available	3	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	A375_100nM_3	proteomic profiling by mass spectrometry	A375_100nM_3_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_100nM
A375_1uM	Homo sapiens	not applicable	A375	melanocyte	cutaneous melanoma	cell	not available	not available	A375	not available	1	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	A375_1uM_1	proteomic profiling by mass spectrometry	A375_1uM_1_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_1uM
A375_1uM	Homo sapiens	not applicable	A375	melanocyte	cutaneous melanoma	cell	not available	not available	A375	not available	2	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	A375_1uM_2	proteomic profiling by mass spectrometry	A375_1uM_2_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_1uM
A375_1uM	Homo sapiens	not applicable	A375	melanocyte	cutaneous melanoma	cell	not available	not available	A375	not available	3	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	A375_1uM_3	proteomic profiling by mass spectrometry	A375_1uM_3_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A375_1uM
RPMI7951_DMSO	Homo sapiens	not applicable	RPMI-7951	melanocyte	cutaneous melanoma	cell	not available	not available	RPMI-7951	not available	1	immunoaffinity purification	MHC class I protein complex	HLA-A*02:01	W6/32 (pan-HLA class I)	RPMI7951_dmso_1	proteomic profiling by mass spectrometry	RPMI7951_dmso_1_Targeted.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=parallel reaction monitoring;AC=MS:1003907	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	10 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	RPMI7951_DMSO
