source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Escherichia_coli_1	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	Orbi02952XM_ZY_trypsin_C_2_SCII.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_2	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	2	Orbi02788XM_ZY_trypsinN_C_4_SCII_Recal.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_3	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	3	Orbi02525XM_ZY_ace_trypsin_C_SCII_3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_4	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	4	Orbi02787XM_ZY_trypsinN_C_3_SCII_Recal.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_5	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	5	Orbi02564XM_ZY_LysN_C_3_SCII.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=lys-n;AC=MS:1003093	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_6	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	6	Orbi02785XM_ZY_trypsinN_C_1_SCII_Recal.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_7	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	7	Orbi02524XM_ZY_ace_trypsin_C_SCII_2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_8	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	8	Orbi02561XM_ZY_LysC_C_3_SCII.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_9	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	9	Orbi02519XM_ZY_trypsin_C_SCII_1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_10	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	10	Orbi02563XM_ZY_LysN_C_2_SCII.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=lys-n;AC=MS:1003093	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Escherichia_coli_11	Escherichia coli	NT=whole organism	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	11	Orbi02560XM_ZY_LysC_C_2_SCII.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Elite	NT=lys-c;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
