source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF11_50	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	50	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF11_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF11_50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF11_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF6	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF10	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF2	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF2	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF4_50	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	50	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF4_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF4_50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF4_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF4	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF3	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF12_50	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	50	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF12_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF12_50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF12_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF12	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF1	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF8	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF6	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
140505_Ida_Yeast_S3_ConA140422_5_5HCD_LC_1_LWAC_20	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	20	140505_Ida_Yeast_S3_ConA140422_5_5HCD_LC_1_LWAC_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	140505_Ida_Yeast_S3_ConA140422_5_5HCD_LC_1_LWAC_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/140505_Ida_Yeast_S3_ConA140422_5_5HCD_LC_1_LWAC_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF7_50	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	50	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF7_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF7_50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF7_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF8_50	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	50	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF8_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF8_50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF8_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF12	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF1	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
