source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[genotype]	characteristics[growth phase]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype]	factor value[growth phase]
Bsub_WT_endexp_rep1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	wild type	end-exponential phase	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-07T16:36:15	1	1	E1_220707_22C012_sample_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type	end-exponential phase
Bsub_WT_endexp_rep2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	wild type	end-exponential phase	not pooled	2	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-07T17:38:09	1	1	E1_220707_22C012_sample_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type	end-exponential phase
Bsub_WT_endexp_rep3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	wild type	end-exponential phase	not pooled	3	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-07T18:39:56	1	1	E1_220707_22C012_sample_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type	end-exponential phase
Bsub_WT_endexp_rep4	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	wild type	end-exponential phase	not pooled	4	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-07T19:41:43	1	1	E1_220707_22C012_sample_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type	end-exponential phase
Bsub_WT_trans_rep1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	wild type	transition phase	not pooled	1	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-07T21:44:52	1	1	E1_220707_22C012_sample_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type	transition phase
Bsub_WT_trans_rep2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	wild type	transition phase	not pooled	2	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-07T22:46:24	1	1	E1_220707_22C012_sample_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type	transition phase
Bsub_WT_trans_rep3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	wild type	transition phase	not pooled	3	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-07T23:48:11	1	1	E1_220707_22C012_sample_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type	transition phase
Bsub_WT_trans_rep4	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	wild type	transition phase	not pooled	4	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T00:49:58	1	1	E1_220707_22C012_sample_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wild type	transition phase
Bsub_ymcA_endexp_rep1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ymcA mutant	end-exponential phase	not pooled	1	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T02:53:07	1	1	E1_220707_22C012_sample_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ymcA mutant	end-exponential phase
Bsub_ymcA_endexp_rep2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	whole organism	ymcA mutant	end-exponential phase	not pooled	2	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	2022-07-08T03:54:40	1	1	E1_220707_22C012_sample_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ymcA mutant	end-exponential phase
