source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell line]	characteristics[passage number]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[biological replicate]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
PXD067301-sample-1	Aedes aegypti	not applicable	normal	cell line	CVCL_Z617	Aag-2	Aag2	not available	not applicable	not applicable	1	Rabbit IgG	PXD067301-assay-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.1 Da	1	1	R3435_IPIGG.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Rabbit IgG
PXD067301-sample-2	Aedes aegypti	not applicable	normal	cell line	CVCL_Z617	Aag-2	Aag2	not available	not applicable	not applicable	1	NS1 protein	PXD067301-assay-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.1 Da	1	1	R3435_IPNSI.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NS1 protein
