source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
mVenus_1	Homo sapiens	kidney	not available	HEK293T	CVCL_0063	HEK293T	normal	cell	fetus	not available	female	not available	mVenus only	1	mVenus_rep_1_5uL	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	4.5 ppm	20 ppm	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	mVenus_rep_1_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	mVenus only
mVenus_2	Homo sapiens	kidney	not available	HEK293T	CVCL_0063	HEK293T	normal	cell	fetus	not available	female	not available	mVenus only	2	mVenus_rep_2_5uL	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	4.5 ppm	20 ppm	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	mVenus_rep_2_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	mVenus only
mVenus_3	Homo sapiens	kidney	not available	HEK293T	CVCL_0063	HEK293T	normal	cell	fetus	not available	female	not available	mVenus only	3	mVenus_rep_3_5uL	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	4.5 ppm	20 ppm	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	mVenus_rep_3_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	mVenus only
SRRM2_WT_1	Homo sapiens	kidney	not available	HEK293T	CVCL_0063	HEK293T	normal	cell	fetus	not available	female	not available	SRRM2-mVenus WT	1	SRV_rep_1_5uL	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	4.5 ppm	20 ppm	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	SRV_rep_1_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	SRRM2-mVenus WT
SRRM2_WT_2	Homo sapiens	kidney	not available	HEK293T	CVCL_0063	HEK293T	normal	cell	fetus	not available	female	not available	SRRM2-mVenus WT	2	SRV_rep_2_5uL	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	4.5 ppm	20 ppm	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	SRV_rep_2_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	SRRM2-mVenus WT
SRRM2_WT_3	Homo sapiens	kidney	not available	HEK293T	CVCL_0063	HEK293T	normal	cell	fetus	not available	female	not available	SRRM2-mVenus WT	3	SRV_rep_3_5uL	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	4.5 ppm	20 ppm	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	SRV_rep_3_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	SRRM2-mVenus WT
S1444P_1	Homo sapiens	kidney	not available	HEK293T	CVCL_0063	HEK293T	normal	cell	fetus	not available	female	not available	SRRM2 S1444P	1	S1444P_rep_1_5uL	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	4.5 ppm	20 ppm	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	S1444P_rep_1_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	SRRM2 S1444P
S1444P_2	Homo sapiens	kidney	not available	HEK293T	CVCL_0063	HEK293T	normal	cell	fetus	not available	female	not available	SRRM2 S1444P	2	S1444P_rep_2_5uL	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	4.5 ppm	20 ppm	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	S1444P_rep_2_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	SRRM2 S1444P
S1444P_3	Homo sapiens	kidney	not available	HEK293T	CVCL_0063	HEK293T	normal	cell	fetus	not available	female	not available	SRRM2 S1444P	3	S1444P_rep_3_5uL	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	4.5 ppm	20 ppm	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	1	1	S1444P_rep_3_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	SRRM2 S1444P
