source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[kras status]			
Sample1	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 1	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134539-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras mutant			
Sample2	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 2	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134540-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras mutant			
Sample3	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 3	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134541-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras mutant			
Sample4	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 4	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134542-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras mutant			
Sample5	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 5	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134543-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras mutant			
Sample6	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 6	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134544-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras mutant			
Sample7	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 7	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134545-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras mutant			
Sample8	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 8	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134546-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras wild type			
Sample9	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 9	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134547-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras mutant			
Sample10	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 10	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134548-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras mutant			
Sample11	Homo sapiens	pancreas	not applicable	pancreas pancreatic ductal adenocarcinoma	not available	not available	1	assay 11	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	not applicable	1	1	Astral-2_24_FPEP240134549-1A.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	Kras wild type			
