source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
20130925_Velos1_RSLC2_BrochTrentini_Clausen_IMP_insol_shotgun_TiO2_Bsub_YwlEKO_10_rep1	bacteria	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130925_Velos1_RSLC2_BrochTrentini_Clausen_IMP_insol_shotgun_TiO2_Bsub_YwlEKO_10_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.8 Da	1	1	20130925_Velos1_RSLC2_BrochTrentini_Clausen_IMP_insol_shotgun_TiO2_Bsub_YwlEKO_10_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000560/20130925_Velos1_RSLC2_BrochTrentini_Clausen_IMP_insol_shotgun_TiO2_Bsub_YwlEKO_10_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_2_C9A_rep2	bacteria	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_2_C9A_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.8 Da	1	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_2_C9A_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000560/20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_2_C9A_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_8_D117A_rep2	bacteria	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_8_D117A_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.8 Da	1	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_8_D117A_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000560/20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_8_D117A_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130925_Velos1_RSLC2_BrochTrentini_Clausen_IMP_insol_shotgun_TiO2_Bsub_YwlEKO_10_rep3	bacteria	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130925_Velos1_RSLC2_BrochTrentini_Clausen_IMP_insol_shotgun_TiO2_Bsub_YwlEKO_10_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.8 Da	1	1	20130925_Velos1_RSLC2_BrochTrentini_Clausen_IMP_insol_shotgun_TiO2_Bsub_YwlEKO_10_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000560/20130925_Velos1_RSLC2_BrochTrentini_Clausen_IMP_insol_shotgun_TiO2_Bsub_YwlEKO_10_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_3_C9A_rep3	bacteria	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_3_C9A_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.8 Da	1	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_3_C9A_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000560/20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_3_C9A_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_1_C9A_rep1	bacteria	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_1_C9A_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.8 Da	1	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_1_C9A_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000560/20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_1_C9A_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_6_C9A_F39Bpa_rep3	bacteria	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_6_C9A_F39Bpa_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.8 Da	1	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_6_C9A_F39Bpa_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000560/20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_6_C9A_F39Bpa_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_9_D117A_rep3	bacteria	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_9_D117A_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.8 Da	1	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_9_D117A_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000560/20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_9_D117A_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_4_C9A_F39Bpa_rep1	bacteria	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_4_C9A_F39Bpa_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.8 Da	1	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_4_C9A_F39Bpa_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000560/20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_4_C9A_F39Bpa_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_7_D117A_rep1	bacteria	not available	not applicable	not available	enrichment of phosphorylated protein	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_7_D117A_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.8 Da	1	1	20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_7_D117A_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000560/20130828_Velos1_RSLC2_BrochTrentini_Clausen_IMP_onbead_TiO2_7_D117A_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
