source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_09	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	9	150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_SILAC_TiO2_CID_Bio2_6b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_SILAC_TiO2_CID_Bio2_6b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_CID_Bio2_6b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_CID_Bio2_6b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_WT_SILAC_TiO2_Bio1_collected_04	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	4	SY_WT_SILAC_TiO2_Bio1_collected_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_WT_SILAC_TiO2_Bio1_collected_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_WT_SILAC_TiO2_Bio1_collected_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
150321_V2_PM3_CH_SY_SILAC_Bio1_WTH2O21_04	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	4	150321_V2_PM3_CH_SY_SILAC_Bio1_WTH2O21_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	150321_V2_PM3_CH_SY_SILAC_Bio1_WTH2O21_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/150321_V2_PM3_CH_SY_SILAC_Bio1_WTH2O21_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
150414_V2_PM3_CH_SY_SILAC_Bio3_ptpBH2O2_07	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	7	150414_V2_PM3_CH_SY_SILAC_Bio3_ptpBH2O2_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	150414_V2_PM3_CH_SY_SILAC_Bio3_ptpBH2O2_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/150414_V2_PM3_CH_SY_SILAC_Bio3_ptpBH2O2_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio1_25b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_CID_Bio1_25b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio1_25b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio1_25b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_03	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	3	150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_WT_SILAC_TiO2_Bio1_collected_12	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	12	SY_WT_SILAC_TiO2_Bio1_collected_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_WT_SILAC_TiO2_Bio1_collected_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_WT_SILAC_TiO2_Bio1_collected_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_05	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	5	150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/150401_V2_PM3_CH_SY_SILAC_Bio3_WTKo_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio3_7b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_CID_Bio3_7b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio3_7b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio3_7b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
