source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[strain or breed]	characteristics[biological replicate]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[strain]	factor value[treatment]
sample 1	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	AWRI 3471	1	copper 0.25 mg/L	Run 1	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT = Trypsin	NT = Carbamidomethyl; MT = fixed;  TA = C	Reversed-phase chromatography (RP)	1	1	Job_21-015_UofA_Yeast_Sample-1_RA1_1_3869.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	AWRI 3471	low copper
sample 2	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	AWRI 3471	2	copper 0.25 mg/L	Run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT = Trypsin	NT = Carbamidomethyl; MT = fixed;  TA = C	Reversed-phase chromatography (RP)	1	1	Job_21-015_UofA_Yeast_Sample-2_RA2_1_3873.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	AWRI 3471	low copper
sample 3	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	AWRI 3471	3	copper 0.25 mg/L	Run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT = Trypsin	NT = Carbamidomethyl; MT = fixed;  TA = C	Reversed-phase chromatography (RP)	1	1	Job_21-015_UofA_Yeast_Sample-3_RA3_1_3871.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	AWRI 3471	low copper
sample 4	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	AWRI 4052	1	copper 0.25 mg/L	Run 4	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT = Trypsin	NT = Carbamidomethyl; MT = fixed;  TA = C	Reversed-phase chromatography (RP)	1	1	Job_21-015_UofA_Yeast_Sample-4_RA4_1_3876.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	AWRI 4052	low copper
sample 5	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	AWRI 4052	2	copper 0.25 mg/L	Run 5	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT = Trypsin	NT = Carbamidomethyl; MT = fixed;  TA = C	Reversed-phase chromatography (RP)	1	1	Job_21-015_UofA_Yeast_Sample-5_RA5_1_3875.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	AWRI 4052	low copper
sample 6	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	AWRI 4052	3	copper 0.25 mg/L	Run 6	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT = Trypsin	NT = Carbamidomethyl; MT = fixed;  TA = C	Reversed-phase chromatography (RP)	1	1	Job_21-015_UofA_Yeast_Sample-6_RA6_1_3879.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	AWRI 4052	low copper
sample 7	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	AWRI 3471	1	copper 10 mg/L	Run 7	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT = Trypsin	NT = Carbamidomethyl; MT = fixed;  TA = C	Reversed-phase chromatography (RP)	1	1	Job_21-015_UofA_Yeast_Sample-7_RA7_1_3878.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	AWRI 3471	high copper
sample 8	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	AWRI 3471	2	copper 10 mg/L	Run 8	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT = Trypsin	NT = Carbamidomethyl; MT = fixed;  TA = C	Reversed-phase chromatography (RP)	1	1	Job_21-015_UofA_Yeast_Sample-8_RA8_1_3877.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	AWRI 3471	high copper
sample 9	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	AWRI 3471	3	copper 10 mg/L	Run 9	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT = Trypsin	NT = Carbamidomethyl; MT = fixed;  TA = C	Reversed-phase chromatography (RP)	1	1	Job_21-015_UofA_Yeast_Sample-9_RB1_1_3872.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	AWRI 3471	high copper
sample 10	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	AWRI 4052	1	copper 10 mg/L	Run 10	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro	NT=label free sample;AC=MS:1002038	NT = Trypsin	NT = Carbamidomethyl; MT = fixed;  TA = C	Reversed-phase chromatography (RP)	1	1	Job_21-015_UofA_Yeast_Sample-10_RB2_1_3874.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	AWRI 4052	high copper
