source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
P131_replicate2.zip	pyricularia oryzae p131	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	P131_replicate2.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon speed etd;AC=MS:1002300	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	strong cation-exchange chromatography (scx)	1	1	P131_replicate2.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002364/P131_replicate2.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
P131_replicate3.zip	pyricularia oryzae p131	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	P131_replicate3.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon speed etd;AC=MS:1002300	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	strong cation-exchange chromatography (scx)	1	1	P131_replicate3.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002364/P131_replicate3.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
P131_replicate1.zip	pyricularia oryzae p131	Mycelium	not applicable	not available	enrichment of phosphorylated protein	1	P131_replicate1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=amazon speed etd;AC=MS:1002300	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	strong cation-exchange chromatography (scx)	1	1	P131_replicate1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002364/P131_replicate1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
