source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]	factor value[treatment]
GH-Hamaliya_ctrl_1	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	1	QE_000088_Mohib_1a_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000088_Mohib_1a_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	control temperature (35C day / 25C night)
GH-Hamaliya_ctrl_1	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	1	QE_000089_Mohib_1a_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000089_Mohib_1a_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	control temperature (35C day / 25C night)
GH-Hamaliya_ctrl_2	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	2	QE_000094_Mohib_1b_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000094_Mohib_1b_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	control temperature (35C day / 25C night)
GH-Hamaliya_ctrl_2	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	2	QE_000095_Mohib_1b_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000095_Mohib_1b_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	control temperature (35C day / 25C night)
GH-Hamaliya_ctrl_3	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	3	QE_000091_Mohib_1c_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000091_Mohib_1c_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	control temperature (35C day / 25C night)
GH-Hamaliya_ctrl_3	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	GH-Hamaliya	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	3	QE_000092_Mohib_1c_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000092_Mohib_1c_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	GH-Hamaliya	control temperature (35C day / 25C night)
CIM-789_ctrl_1	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	1	QE_000079_Mohib_2a_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000079_Mohib_2a_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	control temperature (35C day / 25C night)
CIM-789_ctrl_1	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	1	QE_000080_Mohib_2a_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000080_Mohib_2a_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	control temperature (35C day / 25C night)
CIM-789_ctrl_2	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	2	QE_000082_Mohib_2b_1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	QE_000082_Mohib_2b_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	control temperature (35C day / 25C night)
CIM-789_ctrl_2	Gossypium hirsutum	leaf	not applicable	normal	whole plant flowering stage	CIM-789	greenhouse, clay pots with silt loam soil, Hoagland nutrient solution, CCRI Multan	control temperature (35C day / 25C night)	tissue	study sample	pooled	2	QE_000083_Mohib_2b_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	30 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	QE_000083_Mohib_2b_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CIM-789	control temperature (35C day / 25C night)
