source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[experiment]	factor value[biological replicate]	factor value[acquisition mode]	factor value[data format]
N20210603dongzhen_ml_30min_DIA_Slot1-4_1_5845.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	N20210603dongzhen_ml_30min_DIA_Slot1-4_1_5845.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	N20210603dongzhen_ml_30min_DIA_Slot1-4_1_5845.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
B20200323gaohh_ml_30min_DIA_NEW_ML_TEST	Mus musculus	Liver	not available	not available	not available	not available	not available	1	B20200323gaohh_ml_30min_DIA_NEW_ML_TEST	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	B20200323gaohh_ml_30min_DIA_NEW_ML_TEST.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
A20200531yix_ML_30min_500ng_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20200531yix_ML_30min_500ng_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200531yix_ML_30min_500ng_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
F20200120gaohh_QCML_DIA_500ng_2	Mus musculus	Liver	not available	not available	not available	not available	not available	1	F20200120gaohh_QCML_DIA_500ng_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	F20200120gaohh_QCML_DIA_500ng_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
F20190822gaohh_QCML_DIA_500ng_after_cal_1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	F20190822gaohh_QCML_DIA_500ng_after_cal_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	F20190822gaohh_QCML_DIA_500ng_after_cal_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
G20191205gaohh_QCML_SWATH_1ug	Mus musculus	Liver	not available	not available	not available	not available	not available	1	G20191205gaohh_QCML_SWATH_1ug	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	G20191205gaohh_QCML_SWATH_1ug.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
D20200812lisain_ml_sw_check_ml	Mus musculus	Liver	not available	not available	not available	not available	not available	1	D20200812lisain_ml_sw_check_ml	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	D20200812lisain_ml_sw_check_ml.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
A20201206yix_ml_30min_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20201206yix_ml_30min_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20201206yix_ml_30min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
O20220422dongzhen_FAIMS_QCML0418_DIA_30min_42V_62V	Mus musculus	Liver	not available	not available	not available	not available	not available	1	O20220422dongzhen_FAIMS_QCML0418_DIA_30min_42V_62V	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	O20220422dongzhen_FAIMS_QCML0418_DIA_30min_42V_62V.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
G20200311caix_2650_QCML_SWATH_1ug_1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	G20200311caix_2650_QCML_SWATH_1ug_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	G20200311caix_2650_QCML_SWATH_1ug_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
