source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[compound]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
BAP1_1	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast stem cell control	not aplicable	1	run1	proteomic profiling by mass spectrometry	1	VP_BAP1_1_7260.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_2	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast stem cell control	not aplicable	1	run2	proteomic profiling by mass spectrometry	2	VP_BAP1_2_7248.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_3	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast stem cell control	not aplicable	1	run3	proteomic profiling by mass spectrometry	3	VP_BAP1_3_7245.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_EVT_1	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Extravillous Trophoblast control	not aplicable	1	run4	proteomic profiling by mass spectrometry	1	VP_BAP1_EVT_1_7241.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_EVT_2	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Extravillous Trophoblast control	not aplicable	1	run5	proteomic profiling by mass spectrometry	2	VP_BAP1_EVT_2_7261.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_EVT_3	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Extravillous Trophoblast control	not aplicable	1	run6	proteomic profiling by mass spectrometry	3	VP_BAP1_EVT_3_7256.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_ORG_1	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast organoids control	not aplicable	1	run7	proteomic profiling by mass spectrometry	1	VP_BAP1_ORG_1_7239.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_ORG_2	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast organoids control	not aplicable	1	run8	proteomic profiling by mass spectrometry	2	VP_BAP1_ORG_2_7240.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_ORG_3	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast organoids control	not aplicable	1	run9	proteomic profiling by mass spectrometry	3	VP_BAP1_ORG_3_7243.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_STB_1	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Syncytiotrophoblast control	not aplicable	1	run10	proteomic profiling by mass spectrometry	1	VP_BAP1_STB_1_7252.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_STB_2	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Syncytiotrophoblast control	not aplicable	1	run11	proteomic profiling by mass spectrometry	2	VP_BAP1_STB_2_7258.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
BAP1_STB_3	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Syncytiotrophoblast control	not aplicable	1	run12	proteomic profiling by mass spectrometry	3	VP_BAP1_STB_3_7262.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_1	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast stem cell BAP1 overexpression	not aplicable	1	run13	proteomic profiling by mass spectrometry	1	VP_CTRL_1_7249.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
CTRL_2	homo sapiens	not aplicable	trophoblast cell	not available	not available	not available	not available	Trophoblast stem cell BAP1 overexpression	not aplicable	1	run14	proteomic profiling by mass spectrometry	2	VP_CTRL_2_7244.d.tar.zip	1	label free sample	Trypsin	timsTOF fleX	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
