source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[origin]
sample 1	Homo sapiens	not applicable	mesenchymal stem cell	not applicable	not available	not available	not available	1	not applicable	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	orbitrap exploris 240	NT=label free sample;AC=MS:1002038	trypsin	1	1	20240507_HumanDPSC1	v1.1.0	manual curation	NT=human;VV=v1.1.0	dental pulp
sample 1	Homo sapiens	not applicable	mesenchymal stem cell	not applicable	not available	not available	not available	2	not applicable	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	orbitrap exploris 240	NT=label free sample;AC=MS:1002038	trypsin	1	1	20240507_HumanDPSC2	v1.1.0	manual curation	NT=human;VV=v1.1.0	dental pulp
sample 1	Homo sapiens	not applicable	mesenchymal stem cell	not applicable	not available	not available	not available	3	not applicable	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	orbitrap exploris 240	NT=label free sample;AC=MS:1002038	trypsin	1	1	20240507_HumanDPSC3	v1.1.0	manual curation	NT=human;VV=v1.1.0	dental pulp
sample 2	Homo sapiens	not applicable	fibroblast	not applicable	not available	not available	not available	1	not applicable	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	orbitrap exploris 240	NT=label free sample;AC=MS:1002038	trypsin	1	1	20240507_HumanHDF1	v1.1.0	manual curation	NT=human;VV=v1.1.0	skin biopsy
sample 2	Homo sapiens	not applicable	fibroblast	not applicable	not available	not available	not available	2	not applicable	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	orbitrap exploris 240	NT=label free sample;AC=MS:1002038	trypsin	1	1	20240507_HumanHDF2	v1.1.0	manual curation	NT=human;VV=v1.1.0	skin biopsy
sample 2	Homo sapiens	not applicable	fibroblast	not applicable	not available	not available	not available	3	not applicable	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	orbitrap exploris 240	NT=label free sample;AC=MS:1002038	trypsin	1	1	20240507_HumanHDF3	v1.1.0	manual curation	NT=human;VV=v1.1.0	skin biopsy
sample 3	Homo sapiens	not applicable	mesenchymal stem cell	not applicable	not available	not available	not available	1	not applicable	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	orbitrap exploris 240	NT=label free sample;AC=MS:1002038	trypsin	1	1	20240507_HumanTK1	v1.1.0	manual curation	NT=human;VV=v1.1.0	adipose tissue
sample 3	Homo sapiens	not applicable	mesenchymal stem cell	not applicable	not available	not available	not available	2	not applicable	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	orbitrap exploris 240	NT=label free sample;AC=MS:1002038	trypsin	1	1	20240507_HumanTK2	v1.1.0	manual curation	NT=human;VV=v1.1.0	adipose tissue
sample 3	Homo sapiens	not applicable	mesenchymal stem cell	not applicable	not available	not available	not available	3	not applicable	run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	orbitrap exploris 240	NT=label free sample;AC=MS:1002038	trypsin	1	1	20240507_HumanTK3	v1.1.0	manual curation	NT=human;VV=v1.1.0	adipose tissue
