source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Sample_1	Escherichia coli	not applicable	not applicable	1	not applicable	Assay_1	proteomic profiling by mass spectrometry	1	20240708_IspE_Lip_R2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_2	Escherichia coli	not applicable	not applicable	1	not applicable	Assay_2	proteomic profiling by mass spectrometry	2	20240708_IspE_Lip_R3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	not available	10 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_3	Escherichia coli	not applicable	not applicable	1	not applicable	Assay_3	proteomic profiling by mass spectrometry	3	20240708_IspE_Lip_N2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	not available	10 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_4	Escherichia coli	not applicable	not applicable	1	not applicable	Assay_4	proteomic profiling by mass spectrometry	4	20240708_IspE_Lip_N3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	not available	10 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_5	Escherichia coli	not applicable	not applicable	1	not applicable	Assay_5	proteomic profiling by mass spectrometry	5	20240708_IspE_Lip_N4.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	not available	10 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_6	Escherichia coli	not applicable	not applicable	1	not applicable	Assay_6	proteomic profiling by mass spectrometry	6	20240708_IspE_Lip_R4.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	not available	10 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_7	Escherichia coli	not applicable	not applicable	1	not applicable	Assay_7	proteomic profiling by mass spectrometry	7	20240708_IspE_Lip_R5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	not available	10 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_8	Escherichia coli	not applicable	not applicable	1	not applicable	Assay_8	proteomic profiling by mass spectrometry	8	20240708_IspE_Lip_N5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	not available	10 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_9	Escherichia coli	not applicable	not applicable	1	not applicable	Assay_9	proteomic profiling by mass spectrometry	9	20240708_IspE_Lip_R1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	not available	10 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample_10	Escherichia coli	not applicable	not applicable	1	not applicable	Assay_10	proteomic profiling by mass spectrometry	10	20240708_IspE_Lip_N1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	not available	10 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
