source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
120501_A549_TSA_AcK	homo sapiens	Epithelial cell	not applicable	not available	1	120501_A549_TSA_AcK	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Protein N-term;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	1	1	120501_A549_TSA_AcK.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002013/120501_A549_TSA_AcK.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
130605_Ack_IP_1	homo sapiens	Epithelial cell	not applicable	not available	1	130605_Ack_IP_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Protein N-term;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	1	1	130605_Ack_IP_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002013/130605_Ack_IP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
120407_A549_EGFIGF_bioRepA_ACK_FT	homo sapiens	Epithelial cell	not applicable	not available	1	120407_A549_EGFIGF_bioRepA_ACK_FT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Protein N-term;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	1	1	120407_A549_EGFIGF_bioRepA_ACK_FT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002013/120407_A549_EGFIGF_bioRepA_ACK_FT.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
130605_Ack_IP_3	homo sapiens	Epithelial cell	not applicable	not available	3	130605_Ack_IP_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Protein N-term;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	1	1	130605_Ack_IP_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002013/130605_Ack_IP_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
110924_HG2_INSA_ACK	homo sapiens	Epithelial cell	not applicable	not available	1	110924_HG2_INSA_ACK	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Protein N-term;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	1	1	110924_HG2_INSA_ACK.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002013/110924_HG2_INSA_ACK.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
111011_HG2_INSB_ACK	homo sapiens	Epithelial cell	not applicable	not available	1	111011_HG2_INSB_ACK	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Protein N-term;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	1	1	111011_HG2_INSB_ACK.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002013/111011_HG2_INSB_ACK.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
110924_HG2_INSA_ACK2	homo sapiens	Epithelial cell	not applicable	not available	1	110924_HG2_INSA_ACK2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Protein N-term;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	1	1	110924_HG2_INSA_ACK2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002013/110924_HG2_INSA_ACK2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
110924_HG2_INSA_ACK4	homo sapiens	Epithelial cell	not applicable	not available	1	110924_HG2_INSA_ACK4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Protein N-term;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	1	1	110924_HG2_INSA_ACK4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002013/110924_HG2_INSA_ACK4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
120404_A549_EGFIGF_bioRepB_ACK_FT	homo sapiens	Epithelial cell	not applicable	not available	1	120404_A549_EGFIGF_bioRepB_ACK_FT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Protein N-term;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	1	1	120404_A549_EGFIGF_bioRepB_ACK_FT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002013/120404_A549_EGFIGF_bioRepB_ACK_FT.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
130605_Ack_IP_2	homo sapiens	Epithelial cell	not applicable	not available	2	130605_Ack_IP_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Protein N-term;MT=Variable	NT=iTRAQ4plex;AC=UNIMOD:214;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	1	1	130605_Ack_IP_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002013/130605_Ack_IP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
