source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
Sample 1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	1	run 1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_001.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A44_KO
Sample 2	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	2	run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_002.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A44_KO
Sample 3	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	3	run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_003.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A44_KO
Sample 4	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	4	run 4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_004.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A44_KO
Sample 5	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	5	run 5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_005.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A45_KO
Sample 6	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	6	run 6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_006.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A45_KO
Sample 7	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	7	run 7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_007.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A45_KO
Sample 8	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	8	run 8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_008.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A45_KO
Sample 9	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	9	run 9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_011.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A48 2D3_KO
Sample 10	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	10	run 10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_012.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A48 2D3_KO
Sample 11	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	11	run 11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_013.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A48 2D3_KO
Sample 12	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	12	run 12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_014.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A48 2D3_KO
Sample 13	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	13	run 13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_015.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SLC25A25_KO
Sample 14	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	14	run 14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_016.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Cal51-Cas9-mCherry_WT
Sample 15	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	15	run 15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_017.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Cal51-Cas9-mCherry_WT
Sample 16	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	16	run 16	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_018.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Cal51-Cas9-mCherry_WT
Sample 17	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	17	run 17	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_021.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Cal51-Cas9-mCherry_WT
Sample 18	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	not applicable	SLC25 knockout	Cal51	not available	18	run 18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20210902_T2_022.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Cal51-Cas9-mCherry_WT
