source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[tool metadata]
KO+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	3	S_Brandenburg_310323_110423_DIA_A_12_BD4_1_9984	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_12_BD4_1_9984.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK IgG -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	3	S_Brandenburg_310323_110423_DIA_A_13_BD5_1_9985	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_13_BD5_1_9985.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	3	S_Brandenburg_310323_110423_DIA_A_14_BD6_1_9986	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_14_BD6_1_9986.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
KO+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	3	S_Brandenburg_310323_110423_DIA_A_15_BD7_1_9987	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	1	S_Brandenburg_310323_110423_DIA_A_15_BD7_1_9987.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	1	S_Brandenburg_310323_110423_DIA_B_01_BC1_1_9989	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_01_BC1_1_9989.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
KO+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	1	S_Brandenburg_310323_110423_DIA_B_02_BC2_1_9990	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_02_BC2_1_9990.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK IgG -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	1	S_Brandenburg_310323_110423_DIA_B_03_BC3_1_9991	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_03_BC3_1_9991.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	1	S_Brandenburg_310323_110423_DIA_B_04_BC4_1_10005	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_04_BC4_1_10005.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
KO+AK Dys +Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	1	S_Brandenburg_310323_110423_DIA_B_05_BC5_1_10006	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_05_BC5_1_10006.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
WT+AK Dys -Ca	Mus musculus	heart left ventricle	not applicable	myocardial infarction	adult	2	S_Brandenburg_310323_110423_DIA_B_06_BC6_1_9994	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF Pro 2	NT=label free sample;AC=MS:1002038	NT=Trypsin/P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term;TA=	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M			1	2	S_Brandenburg_310323_110423_DIA_B_06_BC6_1_9994.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
