source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[origin]
E489	Pinus nigra	not applicable	not applicable	not applicable	1	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	190909_Maksym_489_A_01_S1	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	low embryogenic capacity
E489	Pinus nigra	not applicable	not applicable	not applicable	1	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	2	190909_Maksym_489_A_02_S1	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	low embryogenic capacity
E489	Pinus nigra	not applicable	not applicable	not applicable	2	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	190909_Maksym_489_B_01_S2	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	low embryogenic capacity
E489	Pinus nigra	not applicable	not applicable	not applicable	2	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	2	190909_Maksym_489_B_02_S2	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	low embryogenic capacity
E490	Pinus nigra	not applicable	not applicable	not applicable	1	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	190909_Maksym_490_A_01_S3	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	low embryogenic capacity
E490	Pinus nigra	not applicable	not applicable	not applicable	1	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	2	190909_Maksym_490_A_02_S3	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	low embryogenic capacity
E490	Pinus nigra	not applicable	not applicable	not applicable	2	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	190909_Maksym_490_B_01_S4	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	low embryogenic capacity
E490	Pinus nigra	not applicable	not applicable	not applicable	2	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	2	190909_Maksym_490_B_02_S4	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	low embryogenic capacity
E492	Pinus nigra	not applicable	not applicable	not applicable	1	run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	190909_Maksym_492_A_01_S7	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	high embryogenic capacity
E492	Pinus nigra	not applicable	not applicable	not applicable	1	run 10	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	2	190909_Maksym_492_A_02_S7	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	high embryogenic capacity
E492	Pinus nigra	not applicable	not applicable	not applicable	2	run 11	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	190909_Maksym_492_B_01_S8	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	high embryogenic capacity
E492	Pinus nigra	not applicable	not applicable	not applicable	2	run 12	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	2	190909_Maksym_492_B_02_S8	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	high embryogenic capacity
E494	Pinus nigra	not applicable	not applicable	not applicable	1	run 13	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	190909_Maksym_494_A_01_S5	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	high embryogenic capacity
E494	Pinus nigra	not applicable	not applicable	not applicable	1	run 14	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	2	190909_Maksym_494_A_02_S5	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	high embryogenic capacity
E494	Pinus nigra	not applicable	not applicable	not applicable	2	run 15	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	190909_Maksym_494_B_01_S6	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	high embryogenic capacity
E494	Pinus nigra	not applicable	not applicable	not applicable	2	run 16	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	2	190909_Maksym_494_B_02_S6	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	high embryogenic capacity
