source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
sample_01	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	sample_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_22	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	22	sample_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_22.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_22.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_23	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	23	sample_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_23.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_23.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_11	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	11	sample_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_11.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_11.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_13	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	13	sample_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_13.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_13.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_18	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	18	sample_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_18.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_07	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	7	sample_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_07.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_14	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	14	sample_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_14.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_14.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_26	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	26	sample_26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_26.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_26.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_17	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	17	sample_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_17.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_17.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_20	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	20	sample_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_20.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_20.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_12	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	12	sample_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
sample_15	recombinant hepatitis c virus j6/jfh1-j6	Cell culture	not applicable	not available	enrichment of phosphorylated protein	15	sample_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	sample_15.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000988/sample_15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
