source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
March_CSF_P035232_BC1_S00_A00_R5	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	March_CSF_P035232_BC1_S00_A00_R5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	March_CSF_P035232_BC1_S00_A00_R5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/March_CSF_P035232_BC1_S00_A00_R5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
Placenta_03012_RA3_S00_RP17_R1	homo sapiens	placenta	not applicable	not available	enrichment of phosphorylated protein	1	Placenta_03012_RA3_S00_RP17_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Placenta_03012_RA3_S00_RP17_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Placenta_03012_RA3_S00_RP17_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	placenta
CSF_P035233_BC1_S00_A00_R6	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	CSF_P035233_BC1_S00_A00_R6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	CSF_P035233_BC1_S00_A00_R6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/CSF_P035233_BC1_S00_A00_R6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
Urine_P035226_BB1_S00_A00_R3	homo sapiens	urine	not applicable	not available	enrichment of phosphorylated protein	1	Urine_P035226_BB1_S00_A00_R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Urine_P035226_BB1_S00_A00_R3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Urine_P035226_BB1_S00_A00_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	urine
02971_RD1_S00_R04_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	02971_RD1_S00_R04_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	02971_RD1_S00_R04_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/02971_RD1_S00_R04_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
Placenta_03017_RC6_S00_RP46_R1	homo sapiens	placenta	not applicable	not available	enrichment of phosphorylated protein	1	Placenta_03017_RC6_S00_RP46_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Placenta_03017_RC6_S00_RP46_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Placenta_03017_RC6_S00_RP46_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	placenta
02977_RF6_S00_R43_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	02977_RF6_S00_R43_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	02977_RF6_S00_R43_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/02977_RF6_S00_R43_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
02977_RC4_S00_R30_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	02977_RC4_S00_R30_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	02977_RC4_S00_R30_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/02977_RC4_S00_R30_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
Hela_P035219_BA1_S00_A00_R18	homo sapiens	not available	HeLa cell	not available	enrichment of phosphorylated protein	1	Hela_P035219_BA1_S00_A00_R18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	Hela_P035219_BA1_S00_A00_R18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/Hela_P035219_BA1_S00_A00_R18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
20181114_15cm_1DMSO_NHela_5ug_Top12_28Hz_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	20181114_15cm_1DMSO_NHela_5ug_Top12_28Hz_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive hf-x;AC=MS:1002877	NT=q exactive hf;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT;AC=UNIMOD:739;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.4 Da	55% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20181114_15cm_1DMSO_NHela_5ug_Top12_28Hz_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD015087/20181114_15cm_1DMSO_NHela_5ug_Top12_28Hz_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	not available
