source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms min charge]	comment[ms max charge]	comment[ms1 scan range]	comment[ms2 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[source name]
MB49_ITO57T_IFNg	Homo sapiens	colon	epithelial cell	1	colorectal cancer	cell	Interferon Gamma	not available	not available	not available	ITO57T	MB49_ITO57T_IFNg_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250425_Astral_AUR325075C18TS_DIA_30SPD_MB_49_proteomes_ITO57T_IFNg_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-26T14:49:40	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB49_ITO57T_IFNg
MB49_ITO57T_IFNg	Homo sapiens	colon	epithelial cell	2	colorectal cancer	cell	Interferon Gamma	not available	not available	not available	ITO57T	MB49_ITO57T_IFNg_BR2_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250425_Astral_AUR325075C18TS_DIA_30SPD_MB_49_proteomes_ITO57T_IFNg_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-26T15:34:39	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB49_ITO57T_IFNg
MB49_ITO57T_IFNg	Homo sapiens	colon	epithelial cell	3	colorectal cancer	cell	Interferon Gamma	not available	not available	not available	ITO57T	MB49_ITO57T_IFNg_BR3_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250425_Astral_AUR325075C18TS_DIA_30SPD_MB_49_proteomes_ITO57T_IFNg_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-26T16:19:38	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB49_ITO57T_IFNg
MB49_ITO57T_ctrl	Homo sapiens	colon	epithelial cell	1	colorectal cancer	cell	untreated	not available	not available	not available	ITO57T	MB49_ITO57T_ctrl_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250425_Astral_AUR325075C18TS_DIA_30SPD_MB_49_proteomes_ITO57T_ctrl_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-26T12:17:22	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB49_ITO57T_ctrl
MB49_ITO57T_ctrl	Homo sapiens	colon	epithelial cell	2	colorectal cancer	cell	untreated	not available	not available	not available	ITO57T	MB49_ITO57T_ctrl_BR2_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250425_Astral_AUR325075C18TS_DIA_30SPD_MB_49_proteomes_ITO57T_ctrl_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-26T13:02:17	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB49_ITO57T_ctrl
MB49_ITO57T_ctrl	Homo sapiens	colon	epithelial cell	3	colorectal cancer	cell	untreated	not available	not available	not available	ITO57T	MB49_ITO57T_ctrl_BR3_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250425_Astral_AUR325075C18TS_DIA_30SPD_MB_49_proteomes_ITO57T_ctrl_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-26T13:47:16	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB49_ITO57T_ctrl
MB49_ITO58M_IFNg	Homo sapiens	colon	epithelial cell	1	colorectal cancer	cell	Interferon Gamma	not available	not available	not available	ITO58M	MB49_ITO58M_IFNg_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250425_Astral_AUR325075C18TS_DIA_30SPD_MB_49_proteomes_ITO58M_IFNg_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-26T09:45:03	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB49_ITO58M_IFNg
MB49_ITO58M_IFNg	Homo sapiens	colon	epithelial cell	2	colorectal cancer	cell	Interferon Gamma	not available	not available	not available	ITO58M	MB49_ITO58M_IFNg_BR2_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250425_Astral_AUR325075C18TS_DIA_30SPD_MB_49_proteomes_ITO58M_IFNg_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-26T10:30:02	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB49_ITO58M_IFNg
MB49_ITO58M_IFNg	Homo sapiens	colon	epithelial cell	3	colorectal cancer	cell	Interferon Gamma	not available	not available	not available	ITO58M	MB49_ITO58M_IFNg_BR3_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250425_Astral_AUR325075C18TS_DIA_30SPD_MB_49_proteomes_ITO58M_IFNg_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-26T11:14:58	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB49_ITO58M_IFNg
MB49_ITO58M_ctrl	Homo sapiens	colon	epithelial cell	1	colorectal cancer	cell	untreated	not available	not available	not available	ITO58M	MB49_ITO58M_ctrl_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250425_Astral_AUR325075C18TS_DIA_30SPD_MB_49_proteomes_ITO58M_ctrl_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-26T07:12:42	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB49_ITO58M_ctrl
