source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms min charge]	comment[ms max charge]	comment[ms1 scan range]	comment[ms2 scan range]	factor value[source name]
MB49_ITO57T_ctrl	Homo sapiens	colon	epithelial cell	1	colorectal cancer	cell	untreated	not available	not available	not available	ITO57T	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB49_ITO57T_ctrl_BR1_DDA_pep_R1	proteomic profiling by mass spectrometry	1	20250411_Astral_AUR325075C18TS_DDA_30SPD_MB_49_ITO57T_Ctrl_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	20 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-25T01:30:03	1	6	400m/z-1500m/z	120m/z-1800m/z	MB49_ITO57T_ctrl
MB49_ITO57T_ctrl	Homo sapiens	colon	epithelial cell	2	colorectal cancer	cell	untreated	not available	not available	not available	ITO57T	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB49_ITO57T_ctrl_BR2_DDA_pep_R1	proteomic profiling by mass spectrometry	1	20250411_Astral_AUR325075C18TS_DDA_30SPD_MB_49_ITO57T_Ctrl_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	20 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-25T02:16:12	1	6	400m/z-1500m/z	120m/z-1800m/z	MB49_ITO57T_ctrl
MB49_ITO57T_ctrl	Homo sapiens	colon	epithelial cell	3	colorectal cancer	cell	untreated	not available	not available	not available	ITO57T	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB49_ITO57T_ctrl_BR3_DDA_pep_R1	proteomic profiling by mass spectrometry	1	20250411_Astral_AUR325075C18TS_DDA_30SPD_MB_49_ITO57T_Ctrl_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	20 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-25T03:02:21	1	6	400m/z-1500m/z	120m/z-1800m/z	MB49_ITO57T_ctrl
MB49_ITO57T_IFNg	Homo sapiens	colon	epithelial cell	1	colorectal cancer	cell	Interferon Gamma	not available	not available	not available	ITO57T	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB49_ITO57T_IFNg_BR1_DDA_pep_R1	proteomic profiling by mass spectrometry	1	20250411_Astral_AUR325075C18TS_DDA_30SPD_MB_49_ITO57T_IFNg_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	20 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-25T04:05:53	1	6	400m/z-1500m/z	120m/z-1800m/z	MB49_ITO57T_IFNg
MB49_ITO57T_IFNg	Homo sapiens	colon	epithelial cell	2	colorectal cancer	cell	Interferon Gamma	not available	not available	not available	ITO57T	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB49_ITO57T_IFNg_BR2_DDA_pep_R1	proteomic profiling by mass spectrometry	1	20250411_Astral_AUR325075C18TS_DDA_30SPD_MB_49_ITO57T_IFNg_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	20 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-25T04:52:06	1	6	400m/z-1500m/z	120m/z-1800m/z	MB49_ITO57T_IFNg
MB49_ITO57T_IFNg	Homo sapiens	colon	epithelial cell	3	colorectal cancer	cell	Interferon Gamma	not available	not available	not available	ITO57T	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB49_ITO57T_IFNg_BR3_DDA_pep_R1	proteomic profiling by mass spectrometry	1	20250411_Astral_AUR325075C18TS_DDA_30SPD_MB_49_ITO57T_IFNg_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	20 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-25T05:38:23	1	6	400m/z-1500m/z	120m/z-1800m/z	MB49_ITO57T_IFNg
MB49_ITO58M_ctrl	Homo sapiens	colon	epithelial cell	1	colorectal cancer	cell	untreated	not available	not available	not available	ITO58M	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB49_ITO58M_ctrl_BR1_DDA_pep_R1	proteomic profiling by mass spectrometry	1	20250411_Astral_AUR325075C18TS_DDA_30SPD_MB_49_ITO58M_Ctrl_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	20 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-25T06:59:23	1	6	400m/z-1500m/z	120m/z-1800m/z	MB49_ITO58M_ctrl
MB49_ITO58M_ctrl	Homo sapiens	colon	epithelial cell	2	colorectal cancer	cell	untreated	not available	not available	not available	ITO58M	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB49_ITO58M_ctrl_BR2_DDA_pep_R1	proteomic profiling by mass spectrometry	1	20250411_Astral_AUR325075C18TS_DDA_30SPD_MB_49_ITO58M_Ctrl_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	20 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-25T07:45:33	1	6	400m/z-1500m/z	120m/z-1800m/z	MB49_ITO58M_ctrl
MB49_ITO58M_ctrl	Homo sapiens	colon	epithelial cell	3	colorectal cancer	cell	untreated	not available	not available	not available	ITO58M	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB49_ITO58M_ctrl_BR3_DDA_pep_R1	proteomic profiling by mass spectrometry	1	20250411_Astral_AUR325075C18TS_DDA_30SPD_MB_49_ITO58M_Ctrl_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	20 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-25T08:31:45	1	6	400m/z-1500m/z	120m/z-1800m/z	MB49_ITO58M_ctrl
MB49_ITO58M_IFNg	Homo sapiens	colon	epithelial cell	1	colorectal cancer	cell	Interferon Gamma	not available	not available	not available	ITO58M	MHC class I protein complex	mild acid elution	not available	not available	not applicable	MB49_ITO58M_IFNg_BR1_DDA_pep_R1	proteomic profiling by mass spectrometry	1	20250411_Astral_AUR325075C18TS_DDA_30SPD_MB_49_ITO58M_IFNg_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral;AC=MS:1003378	NT=unspecific cleavage;AC=MS:1001956	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	20 ppm	20 ppm	not applicable	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=Cysteinyl;MT=Variable;TA=C;AC=UNIMOD:312	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Glu->pyro-Glu;MT=Variable;PP=Any N-term;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;PP=Any N-term;TA=Q;AC=UNIMOD:28	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-25T09:35:18	1	6	400m/z-1500m/z	120m/z-1800m/z	MB49_ITO58M_IFNg
