source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[tissue mass]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms min charge]	comment[ms max charge]	comment[ms1 scan range]	comment[ms2 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[source name]
MB46_PDTF1	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MB46_PDTF1_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR325075C18TS_DIA_30SPD_MB_46_proteome_PDTF1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-07T22:34:22	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF1
MB46_PDTF10	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MB46_PDTF10_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR325075C18TS_DIA_30SPD_MB_46_proteome_PDTF10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-08T06:11:39	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF10
MB46_PDTF11	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MB46_PDTF11_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR325075C18TS_DIA_30SPD_MB_46_proteome_PDTF11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-08T06:56:43	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF11
MB46_PDTF12	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MB46_PDTF12_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR325075C18TS_DIA_30SPD_MB_46_proteome_PDTF12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-08T07:41:48	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF12
MB46_PDTF13	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MB46_PDTF13_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR325075C18TS_DIA_30SPD_MB_46_proteome_PDTF13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-08T08:44:12	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF13
MB46_PDTF14	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MB46_PDTF14_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR325075C18TS_DIA_30SPD_MB_46_proteome_PDTF14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-08T09:29:13	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF14
MB46_PDTF15	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MB46_PDTF15_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR325075C18TS_DIA_30SPD_MB_46_proteome_PDTF15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-08T10:14:16	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF15
MB46_PDTF2	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MB46_PDTF2_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR325075C18TS_DIA_30SPD_MB_46_proteome_PDTF2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-07T23:19:35	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF2
MB46_PDTF3	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MB46_PDTF3_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR325075C18TS_DIA_30SPD_MB_46_proteome_PDTF3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-08T00:04:22	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF3
MB46_PDTF4	Homo sapiens	kidney	not available	1	renal cell carcinoma	tissue	not available	untreated	not available	not available	not available	RE	MB46_PDTF4_BR1_DIA_prot_R1	proteomic profiling by mass spectrometry	1	20250403_Astral_AUR325075C18TS_DIA_30SPD_MB_46_proteome_PDTF4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	25 NCE	4 ppm	10 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;MT=fixed;PP=Anywhere;TA=C;AC=UNIMOD:4	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2025-04-08T01:06:40	not applicable	not applicable	380m/z-980m/z	100m/z-1000m/z	380	980	2	NT=Data-independent acquisition;AC=PRIDE:0000450	MB46_PDTF4
