source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Bio2_1-22_20130415_卓星怡.rar	arabidopsis thaliana	leaf	not applicable	not available	1	Bio2_1-22_20130415_卓星怡.rar	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	50 mmu	35% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Bio2_1-22_20130415_卓星怡.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002353/Bio2_1-22_20130415_卓星怡.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
Bio3_1-22_20130708_Shih.rar	arabidopsis thaliana	leaf	not applicable	not available	1	Bio3_1-22_20130708_Shih.rar	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	50 mmu	35% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Bio3_1-22_20130708_Shih.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002353/Bio3_1-22_20130708_Shih.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
Bio1_1-22_20130201_卓星怡.rar	arabidopsis thaliana	leaf	not applicable	not available	1	Bio1_1-22_20130201_卓星怡.rar	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	50 mmu	35% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Bio1_1-22_20130201_卓星怡.rar	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002353/Bio1_1-22_20130201_卓星怡.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	leaf
