source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[treatment]
sample 1	Rattus norvegicus	brain	neuron	ischemia	adult	1	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainK1	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	control
sample 1	Rattus norvegicus	brain	neuron	ischemia	adult	2	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainK2	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	control
sample 1	Rattus norvegicus	brain	neuron	ischemia	adult	3	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainK3	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	control
sample 1	Rattus norvegicus	brain	neuron	ischemia	adult	4	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainK4	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	control
sample 1	Rattus norvegicus	brain	neuron	ischemia	adult	5	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainK6	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	control
sample 2	Rattus norvegicus	brain	neuron	ischemia	adult	1	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainT7	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	conditioning
sample 2	Rattus norvegicus	brain	neuron	ischemia	adult	2	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainT8	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	conditioning
sample 2	Rattus norvegicus	brain	neuron	ischemia	adult	3	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainT9	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	conditioning
sample 2	Rattus norvegicus	brain	neuron	ischemia	adult	4	run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainT10b	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	conditioning
sample 3	Rattus norvegicus	brain	neuron	ischemia	adult	1	run 10	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainI11	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	ischemia
sample 3	Rattus norvegicus	brain	neuron	ischemia	adult	2	run 11	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainI12	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	ischemia
sample 3	Rattus norvegicus	brain	neuron	ischemia	adult	3	run 12	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainI13	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	ischemia
sample 3	Rattus norvegicus	brain	neuron	ischemia	adult	4	run 13	proteomic profiling by mass spectrometry	Data-dependent acquisition	ltq orbitrap elite	NT=label free sample;AC=MS:1002038	trypsin	1	1	230812_RatBrainI14	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	ischemia
