source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Aa_VF5_membrane_1	Aquifex aeolicus	membrane fraction	not applicable	prokaryotic cell	whole organism	1	20201218_10_063_MG_Aa_Mb	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	400m/z	1600m/z	1	1	20201218_10_063_MG_Aa_Mb.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	membrane fraction
Aa_VF5_membrane_2	Aquifex aeolicus	membrane fraction	not applicable	prokaryotic cell	whole organism	2	20220303_07_013_MG_Mb_AaVF5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	400m/z	1600m/z	1	1	20220303_07_013_MG_Mb_AaVF5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	membrane fraction
Aa_VF5_soluble_1	Aquifex aeolicus	soluble fraction	not applicable	prokaryotic cell	whole organism	1	20201218_13_063_MG_Aa_Sol	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	400m/z	1600m/z	1	1	20201218_13_063_MG_Aa_Sol.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	soluble fraction
Aa_VF5_soluble_2	Aquifex aeolicus	soluble fraction	not applicable	prokaryotic cell	whole organism	2	20220303_03_013_MG_Sol_AaVF5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	400m/z	1600m/z	1	1	20220303_03_013_MG_Sol_AaVF5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	soluble fraction
Aa_VF5_total_1	Aquifex aeolicus	total extract	not applicable	prokaryotic cell	whole organism	1	20201125_08_056_MG_Aquifex_Strap	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	400m/z	1600m/z	1	1	20201125_08_056_MG_Aquifex_Strap.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	total extract
Aa_VF5_total_2	Aquifex aeolicus	total extract	not applicable	prokaryotic cell	whole organism	2	20210308_15_019_MG_S-Trap_Aqui	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	400m/z	1600m/z	1	1	20210308_15_019_MG_S-Trap_Aqui.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	total extract
