source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[concentration]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[concentration]
HEK_3.9ng_DIA	Homo sapiens	Epithelial cell	not available	1	3.9 ng	samon_D1712_184	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	samon_D1712_184.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	3.9 ng
HEK_3.9ng_DDA	Homo sapiens	Epithelial cell	not available	1	3.9 ng	samon_D1712_185	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	samon_D1712_185.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	3.9 ng
HEK_3.9ng_DIA	Homo sapiens	Epithelial cell	not available	1	3.9 ng	samon_D1712_187	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	samon_D1712_187.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	3.9 ng
HEK_3.9ng_DDA	Homo sapiens	Epithelial cell	not available	1	3.9 ng	samon_D1712_188	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	samon_D1712_188.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	3.9 ng
HEK_3.9ng_DIA	Homo sapiens	Epithelial cell	not available	1	3.9 ng	samon_D1712_190	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	3	1	samon_D1712_190.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	3.9 ng
HEK_3.9ng_DDA	Homo sapiens	Epithelial cell	not available	1	3.9 ng	samon_D1712_191	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	3	1	samon_D1712_191.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	3.9 ng
HEK_7.8ng_DIA	Homo sapiens	Epithelial cell	not available	1	7.8 ng	samon_D1712_194	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	samon_D1712_194.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	7.8 ng
HEK_7.8ng_DDA	Homo sapiens	Epithelial cell	not available	1	7.8 ng	samon_D1712_195	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	samon_D1712_195.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	7.8 ng
HEK_7.8ng_DIA	Homo sapiens	Epithelial cell	not available	1	7.8 ng	samon_D1712_197	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	samon_D1712_197.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	7.8 ng
HEK_7.8ng_DDA	Homo sapiens	Epithelial cell	not available	1	7.8 ng	samon_D1712_198	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	samon_D1712_198.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	7.8 ng
HEK_7.8ng_DIA	Homo sapiens	Epithelial cell	not available	1	7.8 ng	samon_D1712_200	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	3	1	samon_D1712_200.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	7.8 ng
HEK_7.8ng_DDA	Homo sapiens	Epithelial cell	not available	1	7.8 ng	samon_D1712_201	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	3	1	samon_D1712_201.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	7.8 ng
HEK_15.6ng_DIA	Homo sapiens	Epithelial cell	not available	1	15.6 ng	samon_D1712_204	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	samon_D1712_204.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	15.6 ng
HEK_15.6ng_DDA	Homo sapiens	Epithelial cell	not available	1	15.6 ng	samon_D1712_205	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	samon_D1712_205.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	15.6 ng
HEK_15.6ng_DIA	Homo sapiens	Epithelial cell	not available	1	15.6 ng	samon_D1712_207	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	samon_D1712_207.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	15.6 ng
HEK_15.6ng_DDA	Homo sapiens	Epithelial cell	not available	1	15.6 ng	samon_D1712_208	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	samon_D1712_208.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	15.6 ng
HEK_15.6ng_DIA	Homo sapiens	Epithelial cell	not available	1	15.6 ng	samon_D1712_210	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	3	1	samon_D1712_210.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	15.6 ng
HEK_15.6ng_DDA	Homo sapiens	Epithelial cell	not available	1	15.6 ng	samon_D1712_211	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	3	1	samon_D1712_211.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	15.6 ng
HEK_31.3ng_DIA	Homo sapiens	Epithelial cell	not available	1	31.3 ng	samon_D1712_214	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	samon_D1712_214.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	31.3 ng
HEK_31.3ng_DDA	Homo sapiens	Epithelial cell	not available	1	31.3 ng	samon_D1712_215	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	1	1	samon_D1712_215.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	31.3 ng
HEK_31.3ng_DIA	Homo sapiens	Epithelial cell	not available	1	31.3 ng	samon_D1712_217	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	2	1	samon_D1712_217.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	31.3 ng
