source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[strain/DSMZ]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[separation]	comment[lc instrument]	comment[linear gradient]	comment[flow rate]	comment[ionization]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[number of missed cleavages]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[run match between runs]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
BBM_506_P110_31_MIA_004_30	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	DSM 15758	1	bacterial proteomics dataset	proteomic profiling by mass spectrometry	BBM_506_P110_31_MIA_004_30.raw		1	1	NT=Reversed-phase chromatography (RP);AC=PRIDE:0001130	Vanquish Neo	30	microflow	ESI Positive	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap;AC=MS:1000484	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BBM_431_P110_31_MIA_051_30	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	DSM 17489	1	bacterial proteomics dataset	proteomic profiling by mass spectrometry	BBM_431_P110_31_MIA_051_30.raw		1	1	NT=Reversed-phase chromatography (RP);AC=PRIDE:0001219	Vanquish Neo	30	microflow	ESI Positive	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap;AC=MS:1000484	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BBM_506_P110_31_MIA_078_30	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	DSM 17967	1	bacterial proteomics dataset	proteomic profiling by mass spectrometry	BBM_506_P110_31_MIA_078_30.raw		1	1	NT=Reversed-phase chromatography (RP);AC=PRIDE:0001170	Vanquish Neo	30	microflow	ESI Positive	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap;AC=MS:1000484	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Dictostelium_fraction1	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	not applicable	1	kingdom of life dataset	proteomic profiling by mass spectrometry	20180907_QX1_JoMu_SA_Easy12-7_uPAC_500ng_DictosteliumiRT_fraction1.raw		1	1	NT=Reversed-phase chromatography (RP)	unknown	unknown	ESI Positive	Q Exactive	NT=label free sample	NT=label free sample;AC=MS:1002038	Orbitrap	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Dictostelium_fraction2	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	not applicable	1	kingdom of life dataset	proteomic profiling by mass spectrometry	20180907_QX1_JoMu_SA_Easy12-7_uPAC_500ng_DictosteliumiRT_fraction2.raw		1	2	NT=Reversed-phase chromatography (RP)	unknown	unknown	ESI Positive	Q Exactive	NT=label free sample	NT=label free sample;AC=MS:1002038	Orbitrap	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Dictostelium_fraction3	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	not applicable	1	kingdom of life dataset	proteomic profiling by mass spectrometry	20180907_QX1_JoMu_SA_Easy12-7_uPAC_500ng_DictosteliumiRT_fraction3.raw		1	3	NT=Reversed-phase chromatography (RP)	unknown	unknown	ESI Positive	Q Exactive	NT=label free sample	NT=label free sample;AC=MS:1002038	Orbitrap	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Dictostelium_fraction4	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	not applicable	1	kingdom of life dataset	proteomic profiling by mass spectrometry	20180907_QX1_JoMu_SA_Easy12-7_uPAC_500ng_DictosteliumiRT_fraction4.raw		1	4	NT=Reversed-phase chromatography (RP)	unknown	unknown	ESI Positive	Q Exactive	NT=label free sample	NT=label free sample;AC=MS:1002038	Orbitrap	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Dictostelium_fraction5	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	not applicable	1	kingdom of life dataset	proteomic profiling by mass spectrometry	20180907_QX1_JoMu_SA_Easy12-7_uPAC_500ng_DictosteliumiRT_fraction5.raw		1	5	NT=Reversed-phase chromatography (RP)	unknown	unknown	ESI Positive	Q Exactive	NT=label free sample	NT=label free sample;AC=MS:1002038	Orbitrap	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Dictostelium_fraction6	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	not applicable	1	kingdom of life dataset	proteomic profiling by mass spectrometry	20180907_QX1_JoMu_SA_Easy12-7_uPAC_500ng_DictosteliumiRT_fraction6.raw		1	6	NT=Reversed-phase chromatography (RP)	unknown	unknown	ESI Positive	Q Exactive	NT=label free sample	NT=label free sample;AC=MS:1002038	Orbitrap	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Dictostelium_fraction7	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	not applicable	1	kingdom of life dataset	proteomic profiling by mass spectrometry	20180907_QX1_JoMu_SA_Easy12-7_uPAC_500ng_DictosteliumiRT_fraction7.raw		1	7	NT=Reversed-phase chromatography (RP)	unknown	unknown	ESI Positive	Q Exactive	NT=label free sample	NT=label free sample;AC=MS:1002038	Orbitrap	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Dictostelium_fraction8	Dictyostelium discoideum	not applicable	not applicable	not applicable	not applicable	not applicable	1	kingdom of life dataset	proteomic profiling by mass spectrometry	20180907_QX1_JoMu_SA_Easy12-7_uPAC_500ng_DictosteliumiRT_fraction8.raw		1	8	NT=Reversed-phase chromatography (RP)	unknown	unknown	ESI Positive	Q Exactive	NT=label free sample	NT=label free sample;AC=MS:1002038	Orbitrap	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
