source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20130113_MK_Rinschen_120719_07	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	7	20130113_MK_Rinschen_120719_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	20130113_MK_Rinschen_120719_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120719_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120719MaRiS01Tscx08pD_v2	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	1	0089-120719MaRiS01Tscx08pD_v2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	0089-120719MaRiS01Tscx08pD_v2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120719MaRiS01Tscx08pD_v2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120823MaRiS01Tscx01pD	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	1	0089-120823MaRiS01Tscx01pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	0089-120823MaRiS01Tscx01pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120823MaRiS01Tscx01pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120823_04	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	4	20130113_MK_Rinschen_120823_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	20130113_MK_Rinschen_120823_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120823_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120719MaRiS01Tscx09pD	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	1	0089-120719MaRiS01Tscx09pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	0089-120719MaRiS01Tscx09pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120719MaRiS01Tscx09pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120823MaRiS01Tscx06pD	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	1	0089-120823MaRiS01Tscx06pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	0089-120823MaRiS01Tscx06pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120823MaRiS01Tscx06pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120719_02	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	2	20130113_MK_Rinschen_120719_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	20130113_MK_Rinschen_120719_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120719_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120719_09	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	9	20130113_MK_Rinschen_120719_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	20130113_MK_Rinschen_120719_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120719_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120719_01	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	1	20130113_MK_Rinschen_120719_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	20130113_MK_Rinschen_120719_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120719_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120719_06	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	6	20130113_MK_Rinschen_120719_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	20130113_MK_Rinschen_120719_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120719_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120719MaRiS01Tscx04pD	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	1	0089-120719MaRiS01Tscx04pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	0089-120719MaRiS01Tscx04pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120719MaRiS01Tscx04pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120719_03	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	3	20130113_MK_Rinschen_120719_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	20130113_MK_Rinschen_120719_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120719_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120823_06	mus musculus	Renal glomerulus	not applicable	not available	enrichment of phosphorylated protein	6	20130113_MK_Rinschen_120823_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	20130113_MK_Rinschen_120823_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120823_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
