source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]
S171002_04_LT_4.1L_2x	Rattus norvegicus	left nucleus accumbens	neuropathic pain	3	low threshold	S171002_04_LT_4.1L_2x	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	S171002_04_LT_4.1L_2x.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	low threshold
S171002_05_LT_6.1L_2x	Rattus norvegicus	left nucleus accumbens	neuropathic pain	6	low threshold	S171002_05_LT_6.1L_2x	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	S171002_05_LT_6.1L_2x.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	low threshold
S171002_06_LT_14.2L_2x	Rattus norvegicus	left nucleus accumbens	neuropathic pain	7	low threshold	S171002_06_LT_14.2L_2x	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	S171002_06_LT_14.2L_2x.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	low threshold
S171002_07_LT_18.1L_2x	Rattus norvegicus	left nucleus accumbens	neuropathic pain	9	low threshold	S171002_07_LT_18.1L_2x	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	S171002_07_LT_18.1L_2x.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	low threshold
S171002_08_LT_18.3L_2x	Rattus norvegicus	left nucleus accumbens	neuropathic pain	10	low threshold	S171002_08_LT_18.3L_2x	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	S171002_08_LT_18.3L_2x.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	low threshold
S171002_09_LT_4.1R_2x	Rattus norvegicus	right nucleus accumbens	neuropathic pain	3	low threshold	S171002_09_LT_4.1R_2x	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	S171002_09_LT_4.1R_2x.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	low threshold
S171002_10_LT_6.1R_2x	Rattus norvegicus	right nucleus accumbens	neuropathic pain	6	low threshold	S171002_10_LT_6.1R_2x	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	S171002_10_LT_6.1R_2x.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	low threshold
S171002_11_LT_14.2R_2x	Rattus norvegicus	right nucleus accumbens	neuropathic pain	7	low threshold	S171002_11_LT_14.2R_2x	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	S171002_11_LT_14.2R_2x.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	low threshold
S171002_12_LT_18.1R_2x	Rattus norvegicus	right nucleus accumbens	neuropathic pain	9	low threshold	S171002_12_LT_18.1R_2x	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	S171002_12_LT_18.1R_2x.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	low threshold
S171002_13_LT_18.3R_2x	Rattus norvegicus	right nucleus accumbens	neuropathic pain	10	low threshold	S171002_13_LT_18.3R_2x	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	S171002_13_LT_18.3R_2x.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	low threshold
