source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PRIDE_Exp_Complete_Ac_3289.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3289.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3289.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3289.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3309.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3309.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3309.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3309.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3305.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3305.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3305.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3305.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3307.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3307.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3307.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3307.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3285.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3285.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3285.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3285.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3303.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3303.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3303.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3303.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3316.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3316.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3316.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3316.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3302.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3302.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3302.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3302.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3281.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3281.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3281.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3281.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3282.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3282.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3282.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3282.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
