source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
20141223_VR_Bsu_TripleSILAC_pWTyveLyfkJ_rep3_F03	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20141223_VR_Bsu_TripleSILAC_pWTyveLyfkJ_rep3_F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	3	1	20141223_VR_Bsu_TripleSILAC_pWTyveLyfkJ_rep3_F03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20141223_VR_Bsu_TripleSILAC_pWTyveLyfkJ_rep3_F03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20111118_VR_T1L1T2_F5	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20111118_VR_T1L1T2_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	5	1	20111118_VR_T1L1T2_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20111118_VR_T1L1T2_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_10min_04	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	4	20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_10min_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_10min_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_10min_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120523_VR_Bsu_TripleSILACrep1_L2ESLS_GeLC_F07	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120523_VR_Bsu_TripleSILACrep1_L2ESLS_GeLC_F07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	7	1	20120523_VR_Bsu_TripleSILACrep1_L2ESLS_GeLC_F07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120523_VR_Bsu_TripleSILACrep1_L2ESLS_GeLC_F07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130830_BoSo_Bsubtilis_LysC_OffGel_Glu_Succ_BR1_06	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	6	20130830_BoSo_Bsubtilis_LysC_OffGel_Glu_Succ_BR1_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130830_BoSo_Bsubtilis_LysC_OffGel_Glu_Succ_BR1_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20130830_BoSo_Bsubtilis_LysC_OffGel_Glu_Succ_BR1_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120718_VR_Bsu_TripleSILAC_WTPtkAPtpZ_GeLC_F10	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120718_VR_Bsu_TripleSILAC_WTPtkAPtpZ_GeLC_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	10	1	20120718_VR_Bsu_TripleSILAC_WTPtkAPtpZ_GeLC_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120718_VR_Bsu_TripleSILAC_WTPtkAPtpZ_GeLC_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_02	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	2	20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20130406_BoSo_IsraelCollab_Proteome_trypsin_spores_02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120602_VR_Bsu_TripleSILAC_pWTPrkCPrpC_F21	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20120602_VR_Bsu_TripleSILAC_pWTPrkCPrpC_F21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	21	1	20120602_VR_Bsu_TripleSILAC_pWTPrkCPrpC_F21.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20120602_VR_Bsu_TripleSILAC_pWTPrkCPrpC_F21.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_2hrs_01	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_2hrs_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_2hrs_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20121222_BoSo_Bsubtilis_SuperSilac_EtOH_Rep1_OG_HCD_LysC_2hrs_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20141220_VR_Bsu_TripleSILAC_WTyveLyfkJ_rep1_GeLC_F06	bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	enrichment of phosphorylated protein	1	20141220_VR_Bsu_TripleSILAC_WTyveLyfkJ_rep1_GeLC_F06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap xl;AC=MS:1000556	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.5 Da	0.5 Da	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	6	1	20141220_VR_Bsu_TripleSILAC_WTyveLyfkJ_rep1_GeLC_F06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD008860/20141220_VR_Bsu_TripleSILAC_WTyveLyfkJ_rep1_GeLC_F06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
