source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
P01YellowINOstem	Escherichia coli	Yellow INO stem	not available	1	not available	not available	not available	not available	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	P01YellowINOstem.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
P10De-H2OGreenINObambooleaves	Escherichia coli	Green INO bamboo leaves	not available	10	not available	not available	not available	not available	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	P10De-H2OGreenINObambooleaves.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
P04De-H2OYellowINOstem	Escherichia coli	Yellow INO stem	not available	4	not available	not available	not available	not available	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	P04De-H2OYellowINOstem.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
P03YellowINOstem	Escherichia coli	Yellow INO stem	not available	3	not available	not available	not available	not available	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	P03YellowINOstem.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
P07GreenINObambooleaves	Escherichia coli	Green INO bamboo leaves	not available	7	not available	not available	not available	not available	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	P07GreenINObambooleaves.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
P09GreenINObambooleaves	Escherichia coli	Green INO bamboo leaves	not available	9	not available	not available	not available	not available	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	P09GreenINObambooleaves.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
P02YellowINOstem	Escherichia coli	Yellow INO stem	not available	2	not available	not available	not available	not available	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	P02YellowINOstem.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
P05De-H2OYellowINOstem	Escherichia coli	Yellow INO stem	not available	5	not available	not available	not available	not available	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	P05De-H2OYellowINOstem.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
P11De-H2OGreenINObambooleaves	Escherichia coli	Green INO bamboo leaves	not available	11	not available	not available	not available	not available	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	P11De-H2OGreenINObambooleaves.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
P08GreenINObambooleaves	Escherichia coli	Green INO bamboo leaves	not available	8	not available	not available	not available	not available	not available	Proteomic Assay	proteomic profiling by mass spectrometry	1	P08GreenINObambooleaves.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap;AC=MS:1000449	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
