source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
AB-17S-F4	acinetobacter baumannii	not available	not applicable	not available	1	AB-17S-F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	4	1	AB-17S-F4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/AB-17S-F4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
AB-17R-F2	acinetobacter baumannii	not available	not applicable	not available	1	AB-17R-F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	2	1	AB-17R-F2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/AB-17R-F2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
S1	acinetobacter baumannii	not available	not applicable	not available	1	S1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	S1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/S1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120530R3A01	acinetobacter baumannii	not available	not applicable	not available	1	20120530R3A01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20120530R3A01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/20120530R3A01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SK17R-1	acinetobacter baumannii	not available	not applicable	not available	1	SK17R-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	SK17R-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/SK17R-1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120530S3A01_120531012038	acinetobacter baumannii	not available	not applicable	not available	1	20120530S3A01_120531012038	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20120530S3A01_120531012038.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/20120530S3A01_120531012038.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SK17-S-2	acinetobacter baumannii	not available	not applicable	not available	2	SK17-S-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	SK17-S-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/SK17-S-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
AB-17R-F3	acinetobacter baumannii	not available	not applicable	not available	1	AB-17R-F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	3	1	AB-17R-F3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/AB-17R-F3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
AB-17S-F6	acinetobacter baumannii	not available	not applicable	not available	1	AB-17S-F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	6	1	AB-17S-F6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/AB-17S-F6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SK17S-1	acinetobacter baumannii	not available	not applicable	not available	1	SK17S-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	SK17S-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/SK17S-1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
17R-FT-1	acinetobacter baumannii	not available	not applicable	not available	1	17R-FT-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	17R-FT-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/17R-FT-1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120530R1A01	acinetobacter baumannii	not available	not applicable	not available	1	20120530R1A01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20120530R1A01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/20120530R1A01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120521R201	acinetobacter baumannii	not available	not applicable	not available	1	20120521R201	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20120521R201.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002033/20120521R201.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
