source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[crosslink strategy]	factor value[sample context]
A549 DSS crosslinked LiveCells HighpH	Homo sapiens	cultured cell	A549	lung adenocarcinoma	1	cell	not available	high pH reverse phase chromatography	not available	60 min	not available	20230816_A549_1xDSS_LiveCells_HighpH_F01	proteomic profiling by mass spectrometry	20230816_A549_1xDSS_LiveCells_HighpH_F01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20230816_A549_1xDSS_LiveCells_HighpH_F01.raw	1	F01	AC=MS:1002038;NT=label free sample	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	10 ppm	15 ppm	high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	high pH reverse phase chromatography	DTT	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DSS	LiveCells HighpH
A549 DSS crosslinked LiveCells HighpH	Homo sapiens	cultured cell	A549	lung adenocarcinoma	1	cell	not available	high pH reverse phase chromatography	not available	60 min	not available	20230816_A549_1xDSS_LiveCells_HighpH_F02	proteomic profiling by mass spectrometry	20230816_A549_1xDSS_LiveCells_HighpH_F02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20230816_A549_1xDSS_LiveCells_HighpH_F02.raw	1	F02	AC=MS:1002038;NT=label free sample	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	10 ppm	15 ppm	high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	high pH reverse phase chromatography	DTT	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DSS	LiveCells HighpH
A549 DSS crosslinked LiveCells HighpH	Homo sapiens	cultured cell	A549	lung adenocarcinoma	1	cell	not available	high pH reverse phase chromatography	not available	60 min	not available	20230816_A549_1xDSS_LiveCells_HighpH_F03	proteomic profiling by mass spectrometry	20230816_A549_1xDSS_LiveCells_HighpH_F03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20230816_A549_1xDSS_LiveCells_HighpH_F03.raw	1	F03	AC=MS:1002038;NT=label free sample	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	10 ppm	15 ppm	high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	high pH reverse phase chromatography	DTT	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DSS	LiveCells HighpH
A549 DSS crosslinked LiveCells HighpH	Homo sapiens	cultured cell	A549	lung adenocarcinoma	1	cell	not available	high pH reverse phase chromatography	not available	60 min	not available	20230816_A549_1xDSS_LiveCells_HighpH_F04	proteomic profiling by mass spectrometry	20230816_A549_1xDSS_LiveCells_HighpH_F04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20230816_A549_1xDSS_LiveCells_HighpH_F04.raw	1	F04	AC=MS:1002038;NT=label free sample	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	10 ppm	15 ppm	high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	high pH reverse phase chromatography	DTT	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DSS	LiveCells HighpH
A549 DSS crosslinked LiveCells HighpH	Homo sapiens	cultured cell	A549	lung adenocarcinoma	1	cell	not available	high pH reverse phase chromatography	not available	60 min	not available	20230816_A549_1xDSS_LiveCells_HighpH_F05	proteomic profiling by mass spectrometry	20230816_A549_1xDSS_LiveCells_HighpH_F05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20230816_A549_1xDSS_LiveCells_HighpH_F05.raw	1	F05	AC=MS:1002038;NT=label free sample	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	10 ppm	15 ppm	high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	high pH reverse phase chromatography	DTT	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DSS	LiveCells HighpH
A549 DSS crosslinked LiveCells HighpH	Homo sapiens	cultured cell	A549	lung adenocarcinoma	1	cell	not available	high pH reverse phase chromatography	not available	60 min	not available	20230816_A549_1xDSS_LiveCells_HighpH_F06	proteomic profiling by mass spectrometry	20230816_A549_1xDSS_LiveCells_HighpH_F06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20230816_A549_1xDSS_LiveCells_HighpH_F06.raw	1	F06	AC=MS:1002038;NT=label free sample	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	10 ppm	15 ppm	high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	high pH reverse phase chromatography	DTT	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DSS	LiveCells HighpH
A549 DSS crosslinked LiveCells HighpH	Homo sapiens	cultured cell	A549	lung adenocarcinoma	1	cell	not available	high pH reverse phase chromatography	not available	60 min	not available	20230816_A549_1xDSS_LiveCells_HighpH_F07	proteomic profiling by mass spectrometry	20230816_A549_1xDSS_LiveCells_HighpH_F07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20230816_A549_1xDSS_LiveCells_HighpH_F07.raw	1	F07	AC=MS:1002038;NT=label free sample	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	10 ppm	15 ppm	high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	high pH reverse phase chromatography	DTT	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DSS	LiveCells HighpH
A549 DSS crosslinked LiveCells HighpH	Homo sapiens	cultured cell	A549	lung adenocarcinoma	1	cell	not available	high pH reverse phase chromatography	not available	60 min	not available	20230816_A549_1xDSS_LiveCells_HighpH_F08	proteomic profiling by mass spectrometry	20230816_A549_1xDSS_LiveCells_HighpH_F08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20230816_A549_1xDSS_LiveCells_HighpH_F08.raw	1	F08	AC=MS:1002038;NT=label free sample	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	10 ppm	15 ppm	high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	high pH reverse phase chromatography	DTT	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DSS	LiveCells HighpH
A549 DSS crosslinked LiveCells HighpH	Homo sapiens	cultured cell	A549	lung adenocarcinoma	1	cell	not available	high pH reverse phase chromatography	not available	60 min	not available	20230816_A549_1xDSS_LiveCells_HighpH_F09	proteomic profiling by mass spectrometry	20230816_A549_1xDSS_LiveCells_HighpH_F09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20230816_A549_1xDSS_LiveCells_HighpH_F09.raw	1	F09	AC=MS:1002038;NT=label free sample	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	10 ppm	15 ppm	high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	high pH reverse phase chromatography	DTT	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DSS	LiveCells HighpH
A549 DSS crosslinked LiveCells HighpH	Homo sapiens	cultured cell	A549	lung adenocarcinoma	1	cell	not available	high pH reverse phase chromatography	not available	60 min	not available	20230816_A549_1xDSS_LiveCells_HighpH_F10	proteomic profiling by mass spectrometry	20230816_A549_1xDSS_LiveCells_HighpH_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059118/20230816_A549_1xDSS_LiveCells_HighpH_F10.raw	1	F10	AC=MS:1002038;NT=label free sample	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=PRIDE:0000590	not available	10 ppm	15 ppm	high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	high pH reverse phase chromatography	DTT	2-chloroacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	DSS	LiveCells HighpH
