source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
E03876_2_3595_Ub2_Cofradic_QE_17	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	17	E03876_2_3595_Ub2_Cofradic_QE_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03876_2_3595_Ub2_Cofradic_QE_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03876_2_3595_Ub2_Cofradic_QE_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03868_2_3595_Ub2_Cofradic_QE_9	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	9	E03868_2_3595_Ub2_Cofradic_QE_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03868_2_3595_Ub2_Cofradic_QE_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03868_2_3595_Ub2_Cofradic_QE_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03885_2_3595_Ub2_Cofradic_QE_25	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	25	E03885_2_3595_Ub2_Cofradic_QE_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03885_2_3595_Ub2_Cofradic_QE_25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03885_2_3595_Ub2_Cofradic_QE_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03908_2_3595_Ub2_Cofradic_QE_47	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	47	E03908_2_3595_Ub2_Cofradic_QE_47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03908_2_3595_Ub2_Cofradic_QE_47.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03908_2_3595_Ub2_Cofradic_QE_47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03895_2_3595_Ub2_Cofradic_QE_35	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	35	E03895_2_3595_Ub2_Cofradic_QE_35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03895_2_3595_Ub2_Cofradic_QE_35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03895_2_3595_Ub2_Cofradic_QE_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03900_2_3595_Ub2_Cofradic_QE_40	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	40	E03900_2_3595_Ub2_Cofradic_QE_40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03900_2_3595_Ub2_Cofradic_QE_40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03900_2_3595_Ub2_Cofradic_QE_40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03861_2_3595_Ub2_Cofradic_QE_2	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	2	E03861_2_3595_Ub2_Cofradic_QE_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03861_2_3595_Ub2_Cofradic_QE_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03861_2_3595_Ub2_Cofradic_QE_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03906_2_3595_Ub2_Cofradic_QE_45	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	45	E03906_2_3595_Ub2_Cofradic_QE_45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03906_2_3595_Ub2_Cofradic_QE_45.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03906_2_3595_Ub2_Cofradic_QE_45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03892_2_3595_Ub2_Cofradic_QE_32	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	32	E03892_2_3595_Ub2_Cofradic_QE_32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03892_2_3595_Ub2_Cofradic_QE_32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03892_2_3595_Ub2_Cofradic_QE_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03894_2_3595_Ub2_Cofradic_QE_34	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	34	E03894_2_3595_Ub2_Cofradic_QE_34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03894_2_3595_Ub2_Cofradic_QE_34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03894_2_3595_Ub2_Cofradic_QE_34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
