source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Qex01_SVH_181029_KyokoMorimoto_05_I803_bead2_011	Nicotiana benthamiana	Leaf	1	Qex01_SVH_181029_KyokoMorimoto_05_I803_bead2_011	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Qex01_SVH_181029_KyokoMorimoto_05_I803_bead2_011.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
Qex01_SL_190110_KyokoMorimoto_KM02_NPC_Band2_003	Nicotiana benthamiana	Leaf	1	Qex01_SL_190110_KyokoMorimoto_KM02_NPC_Band2_003	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Qex01_SL_190110_KyokoMorimoto_KM02_NPC_Band2_003.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
Qex01_SVH_181029_KyokoMorimoto_02_NCP_bead2_009	Nicotiana benthamiana	Leaf	1	Qex01_SVH_181029_KyokoMorimoto_02_NCP_bead2_009	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Qex01_SVH_181029_KyokoMorimoto_02_NCP_bead2_009.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
Qex01_SVH_181029_KyokoMorimoto_04_I803_bead1_003	Nicotiana benthamiana	Leaf	1	Qex01_SVH_181029_KyokoMorimoto_04_I803_bead1_003	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Qex01_SVH_181029_KyokoMorimoto_04_I803_bead1_003.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
Qex01_SVH_181029_KyokoMorimoto_03_NCP_bead3_017	Nicotiana benthamiana	Leaf	1	Qex01_SVH_181029_KyokoMorimoto_03_NCP_bead3_017	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Qex01_SVH_181029_KyokoMorimoto_03_NCP_bead3_017.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
Qex01_SL_190110_KyokoMorimoto_KM04_I803_Band1_007	Nicotiana benthamiana	Leaf	1	Qex01_SL_190110_KyokoMorimoto_KM04_I803_Band1_007	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Qex01_SL_190110_KyokoMorimoto_KM04_I803_Band1_007.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
Qex01_SVH_181029_KyokoMorimoto_01_NCP_bead1_001	Nicotiana benthamiana	Leaf	1	Qex01_SVH_181029_KyokoMorimoto_01_NCP_bead1_001	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Qex01_SVH_181029_KyokoMorimoto_01_NCP_bead1_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
Qex01_SVH_181029_KyokoMorimoto_06_I803_bead3_019	Nicotiana benthamiana	Leaf	1	Qex01_SVH_181029_KyokoMorimoto_06_I803_bead3_019	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Qex01_SVH_181029_KyokoMorimoto_06_I803_bead3_019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
Qex01_SL_190110_KyokoMorimoto_KM01_NPC_Band1_001	Nicotiana benthamiana	Leaf	1	Qex01_SL_190110_KyokoMorimoto_KM01_NPC_Band1_001	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Qex01_SL_190110_KyokoMorimoto_KM01_NPC_Band1_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
Qex01_SL_190124_KyokoMorimoto_Kyo_190121_Nb_WT_I803_1_005	Nicotiana benthamiana	Leaf	1	Qex01_SL_190124_KyokoMorimoto_Kyo_190121_Nb_WT_I803_1_005	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	Qex01_SL_190124_KyokoMorimoto_Kyo_190121_Nb_WT_I803_1_005.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Leaf
