source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	characteristics[passage number]	characteristics[sample storage temperature]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[biological replicate]	characteristics[crosslink distance]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[label]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
PXD066278-sample-1	Homo sapiens	colon	colon carcinoma	epithelial cell	HCT116	CVCL_0291	HCT 116	McCoy's 5A Medium	not available	-80°C	European ancestry	48Y	male	not available	1	18 Å	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134;CL=no;TA=K;MH=82.04;ML=100.05	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;AC=XLMOD:02134;MM=82.04186;TA=K;MT=Variable	NT=hydrolyzed SDA;AC=XLMOD:01079;MM=100.05243;TA=K;MT=Variable	NT=SDA unassigned adduct;MM=110.04801;TA=K;MT=Variable	NT=HCD;AC=MS:1000422	29 NCE	20 ppm	20 ppm	1	1	E240302_01_KL_HCT116_WT_PulldownID_inSitu_SDA_rep1_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	HCT116
PXD066278-sample-1	Homo sapiens	colon	colon carcinoma	epithelial cell	HCT116	CVCL_0291	HCT 116	McCoy's 5A Medium	not available	-80°C	European ancestry	48Y	male	not available	1	18 Å	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134;CL=no;TA=K;MH=82.04;ML=100.05	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;AC=XLMOD:02134;MM=82.04186;TA=K;MT=Variable	NT=hydrolyzed SDA;AC=XLMOD:01079;MM=100.05243;TA=K;MT=Variable	NT=SDA unassigned adduct;MM=110.04801;TA=K;MT=Variable	NT=HCD;AC=MS:1000422	29 NCE	20 ppm	20 ppm	1	2	E240302_02_KL_HCT116_WT_PulldownID_inSitu_SDA_rep1_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	HCT116
PXD066278-sample-1	Homo sapiens	colon	colon carcinoma	epithelial cell	HCT116	CVCL_0291	HCT 116	McCoy's 5A Medium	not available	-80°C	European ancestry	48Y	male	not available	1	18 Å	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134;CL=no;TA=K;MH=82.04;ML=100.05	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;AC=XLMOD:02134;MM=82.04186;TA=K;MT=Variable	NT=hydrolyzed SDA;AC=XLMOD:01079;MM=100.05243;TA=K;MT=Variable	NT=SDA unassigned adduct;MM=110.04801;TA=K;MT=Variable	NT=HCD;AC=MS:1000422	29 NCE	20 ppm	20 ppm	1	3	E240302_03_KL_HCT116_WT_PulldownID_inSitu_SDA_rep1_inj3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	HCT116
PXD066278-sample-2	Homo sapiens	colon	colon carcinoma	epithelial cell	HCT116	CVCL_0291	HCT 116	McCoy's 5A Medium	not available	-80°C	European ancestry	48Y	male	not available	2	18 Å	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134;CL=no;TA=K;MH=82.04;ML=100.05	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;AC=XLMOD:02134;MM=82.04186;TA=K;MT=Variable	NT=hydrolyzed SDA;AC=XLMOD:01079;MM=100.05243;TA=K;MT=Variable	NT=SDA unassigned adduct;MM=110.04801;TA=K;MT=Variable	NT=HCD;AC=MS:1000422	29 NCE	20 ppm	20 ppm	1	1	E240302_05_KL_HCT116_WT_PulldownID_inSitu_SDA_rep2_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	HCT116
PXD066278-sample-2	Homo sapiens	colon	colon carcinoma	epithelial cell	HCT116	CVCL_0291	HCT 116	McCoy's 5A Medium	not available	-80°C	European ancestry	48Y	male	not available	2	18 Å	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134;CL=no;TA=K;MH=82.04;ML=100.05	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;AC=XLMOD:02134;MM=82.04186;TA=K;MT=Variable	NT=hydrolyzed SDA;AC=XLMOD:01079;MM=100.05243;TA=K;MT=Variable	NT=SDA unassigned adduct;MM=110.04801;TA=K;MT=Variable	NT=HCD;AC=MS:1000422	29 NCE	20 ppm	20 ppm	1	2	E240302_06_KL_HCT116_WT_PulldownID_inSitu_SDA_rep2_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	HCT116
PXD066278-sample-2	Homo sapiens	colon	colon carcinoma	epithelial cell	HCT116	CVCL_0291	HCT 116	McCoy's 5A Medium	not available	-80°C	European ancestry	48Y	male	not available	2	18 Å	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134;CL=no;TA=K;MH=82.04;ML=100.05	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;AC=XLMOD:02134;MM=82.04186;TA=K;MT=Variable	NT=hydrolyzed SDA;AC=XLMOD:01079;MM=100.05243;TA=K;MT=Variable	NT=SDA unassigned adduct;MM=110.04801;TA=K;MT=Variable	NT=HCD;AC=MS:1000422	29 NCE	20 ppm	20 ppm	1	3	E240302_07_KL_HCT116_WT_PulldownID_inSitu_SDA_rep2_inj3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	HCT116
PXD066278-sample-3	Homo sapiens	colon	colon carcinoma	epithelial cell	HCT116 RPN11-tag knock-in	CVCL_0291	HCT 116	McCoy's 5A Medium	not available	-80°C	European ancestry	48Y	male	not available	1	18 Å	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134;CL=no;TA=K;MH=82.04;ML=100.05	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;AC=XLMOD:02134;MM=82.04186;TA=K;MT=Variable	NT=hydrolyzed SDA;AC=XLMOD:01079;MM=100.05243;TA=K;MT=Variable	NT=SDA unassigned adduct;MM=110.04801;TA=K;MT=Variable	NT=HCD;AC=MS:1000422	29 NCE	20 ppm	20 ppm	1	1	E240705_15_KL_hRpn11-biotin_pulldownID_D1_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	HCT116 RPN11-tag knock-in
PXD066278-sample-3	Homo sapiens	colon	colon carcinoma	epithelial cell	HCT116 RPN11-tag knock-in	CVCL_0291	HCT 116	McCoy's 5A Medium	not available	-80°C	European ancestry	48Y	male	not available	1	18 Å	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134;CL=no;TA=K;MH=82.04;ML=100.05	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;AC=XLMOD:02134;MM=82.04186;TA=K;MT=Variable	NT=hydrolyzed SDA;AC=XLMOD:01079;MM=100.05243;TA=K;MT=Variable	NT=SDA unassigned adduct;MM=110.04801;TA=K;MT=Variable	NT=HCD;AC=MS:1000422	29 NCE	20 ppm	20 ppm	1	2	E240705_16_KL_hRpn11-biotin_pulldownID_D1_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	HCT116 RPN11-tag knock-in
PXD066278-sample-3	Homo sapiens	colon	colon carcinoma	epithelial cell	HCT116 RPN11-tag knock-in	CVCL_0291	HCT 116	McCoy's 5A Medium	not available	-80°C	European ancestry	48Y	male	not available	1	18 Å	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134;CL=no;TA=K;MH=82.04;ML=100.05	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;AC=XLMOD:02134;MM=82.04186;TA=K;MT=Variable	NT=hydrolyzed SDA;AC=XLMOD:01079;MM=100.05243;TA=K;MT=Variable	NT=SDA unassigned adduct;MM=110.04801;TA=K;MT=Variable	NT=HCD;AC=MS:1000422	29 NCE	20 ppm	20 ppm	1	3	E240705_17_KL_hRpn11-biotin_pulldownID_D1_inj3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	HCT116 RPN11-tag knock-in
PXD066278-sample-4	Homo sapiens	colon	colon carcinoma	epithelial cell	HCT116 RPN11-tag knock-in	CVCL_0291	HCT 116	McCoy's 5A Medium	not available	-80°C	European ancestry	48Y	male	not available	2	18 Å	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	cross-linking mass spectrometry	NT=SDA;AC=XLMOD:02134;CL=no;TA=K;MH=82.04;ML=100.05	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;AC=XLMOD:02134;MM=82.04186;TA=K;MT=Variable	NT=hydrolyzed SDA;AC=XLMOD:01079;MM=100.05243;TA=K;MT=Variable	NT=SDA unassigned adduct;MM=110.04801;TA=K;MT=Variable	NT=HCD;AC=MS:1000422	29 NCE	20 ppm	20 ppm	1	1	E240705_19_KL_hRpn11-biotin_pulldownID_D2_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	manual curation	HCT116 RPN11-tag knock-in
