source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_28_29	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	29	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_28_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	1	1	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_28_29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_28_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_83	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	83	IMAC_TiO2_eluate_15min_postIR_SCX_83	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_83.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_83.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_97	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	97	IMAC_Tio2_FT_15min_postIR_SCX_97	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	1	1	IMAC_Tio2_FT_15min_postIR_SCX_97.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_97.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_72_73	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	73	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_72_73	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	1	1	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_72_73.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_72_73.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_79	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	79	IMAC_TiO2_eluate_15min_postIR_SCX_79	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_79.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_79.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_73	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	73	IMAC_Tio2_FT_15min_postIR_SCX_73	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	1	1	IMAC_Tio2_FT_15min_postIR_SCX_73.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_73.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_108	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	1	IMAC_Tio2_FT_15min_postIR_SCX_108	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	1	1	IMAC_Tio2_FT_15min_postIR_SCX_108.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_108.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_46	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	46	IMAC_TiO2_eluate_15min_postIR_SCX_46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_46.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_54	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	54	IMAC_Tio2_FT_15min_postIR_SCX_54	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	1	1	IMAC_Tio2_FT_15min_postIR_SCX_54.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_15	arabidopsis thaliana	not available	not applicable	not available	enrichment of phosphorylated protein	15	IMAC_TiO2_eluate_15min_postIR_SCX_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
