source name	source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[disease]	assay name	technology type	comment[data file]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	Characteristics	Assay name	RESULT	Instrument	factor value[organism part]
Sample_1	Gallus gallus	Gallus gallus	not available	1	not available	not available	run	proteomic profiling by mass spectrometry	Chicken_Organic_1a.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Organic	Chicken_Organic_1a	Chicken_Organic_1a.mzIdentML	Q Exactive	not available
Sample_2	Gallus gallus	Gallus gallus	not available	1	not available	not available	run	proteomic profiling by mass spectrometry	Chicken_Organic_1b.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Organic	Chicken_Organic_1b	Chicken_Organic_1b.mzIdentML	Q Exactive	not available
Sample_3	Gallus gallus	Gallus gallus	not available	1	not available	not available	run	proteomic profiling by mass spectrometry	Chicken_Organic_1c.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Organic	Chicken_Organic_1c	Chicken_Organic_1c.mzIdentML	Q Exactive	not available
Sample_4	Gallus gallus	Gallus gallus	not available	1	not available	not available	run	proteomic profiling by mass spectrometry	Chicken_regular_1a.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Regular	Chicken_regular_1a	Chicken_regular_1a.mzIdentML	Q Exactive	not available
Sample_5	Gallus gallus	Gallus gallus	not available	1	not available	not available	run	proteomic profiling by mass spectrometry	Chicken_regular_1b.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Regular	Chicken_regular_1b	Chicken_regular_1b.mzIdentML	Q Exactive	not available
Sample_6	Gallus gallus	Gallus gallus	not available	1	not available	not available	run	proteomic profiling by mass spectrometry	Chicken_regular_1c.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Regular	Chicken_regular_1c	Chicken_regular_1c.mzIdentML	Q Exactive	not available
