source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Ecoli_Aggregate1	Escherichia coli	protein aggregates	not applicable	1	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	era_repeat1_09.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate2	Escherichia coli	protein aggregates	not applicable	1	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	dnak_repeat1_05.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate3	Escherichia coli	protein aggregates	not applicable	1	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	d286Y_repeat1_08.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate4	Escherichia coli	protein aggregates	not applicable	2	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	d286Y_repeat2_19.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate5	Escherichia coli	protein aggregates	not applicable	2	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	wt_repeat2_12.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate6	Escherichia coli	protein aggregates	not applicable	2	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	sdhC_repeat2_15.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate7	Escherichia coli	protein aggregates	not applicable	3	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	d286Y_repeat3_30.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate8	Escherichia coli	protein aggregates	not applicable	1	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	wt_repeat1_01.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate9	Escherichia coli	protein aggregates	not applicable	2	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	cl_repeat2_21.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate10	Escherichia coli	protein aggregates	not applicable	3	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	rpoS_repeat3_24.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate11	Escherichia coli	protein aggregates	not applicable	1	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	vector_repeat1_06.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate12	Escherichia coli	protein aggregates	not applicable	1	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	p53CD_repeat1_11.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate13	Escherichia coli	protein aggregates	not applicable	3	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	obgE_repeat3_29.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate14	Escherichia coli	protein aggregates	not applicable	3	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	vector_repeat3_28.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate15	Escherichia coli	protein aggregates	not applicable	3	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	p53CD_repeat3_33.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate16	Escherichia coli	protein aggregates	not applicable	2	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	p53CD_repeat2_22.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_Aggregate17	Escherichia coli	protein aggregates	not applicable	3	not applicable	Proteomic Assay	proteomic profiling by mass spectrometry	1	recA_repeat3_25.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
