source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]
HeLa EV sample 1	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	adult	African American	cell line	1	run 1	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dehydrated;AC=UNIMOD:23;TA=S,T;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:27;TA=N,Q;MT=Variable	NT=CID;AC=MS:1000133	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	01112016_DM798_Run1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HeLa
HeLa EV sample 1	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	adult	African American	cell line	1	run 2	proteomic profiling by mass spectrometry	1	2	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dehydrated;AC=UNIMOD:23;TA=S,T;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:27;TA=N,Q;MT=Variable	NT=CID;AC=MS:1000133	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	01112016_DM798_Run2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HeLa
HeLa EV sample 1	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	adult	African American	cell line	1	run 3	proteomic profiling by mass spectrometry	1	3	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dehydrated;AC=UNIMOD:23;TA=S,T;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:27;TA=N,Q;MT=Variable	NT=CID;AC=MS:1000133	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	01112016_DM798_Run3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HeLa
