source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
140730_A549_KRASkd_SAX_pH6	homo sapiens	lung	A549 cell	Non-small cell lung carcinoma	enrichment	A549	CVCL_0023	A549	1	140730_A549_KRASkd_SAX_pH6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	1.0 Da	1.0 Da	35% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140730_A549_KRASkd_SAX_pH6.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001999/140730_A549_KRASkd_SAX_pH6.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	lung
140730_A549_KRASkd_SAX_pH11	homo sapiens	lung	A549 cell	Non-small cell lung carcinoma	enrichment	A549	CVCL_0023	A549	1	140730_A549_KRASkd_SAX_pH11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	1.0 Da	1.0 Da	35% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140730_A549_KRASkd_SAX_pH11.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001999/140730_A549_KRASkd_SAX_pH11.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	lung
140730_A549_KRASkd_SAX_pH5	homo sapiens	lung	A549 cell	Non-small cell lung carcinoma	enrichment	A549	CVCL_0023	A549	1	140730_A549_KRASkd_SAX_pH5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	1.0 Da	1.0 Da	35% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140730_A549_KRASkd_SAX_pH5.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001999/140730_A549_KRASkd_SAX_pH5.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	lung
140730_A549_KRASkd_SAX_FT	homo sapiens	lung	A549 cell	Non-small cell lung carcinoma	enrichment	A549	CVCL_0023	A549	1	140730_A549_KRASkd_SAX_FT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	1.0 Da	1.0 Da	35% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140730_A549_KRASkd_SAX_FT.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001999/140730_A549_KRASkd_SAX_FT.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	lung
140114_TripSil-glycopep_03	homo sapiens	lung	A549 cell	Non-small cell lung carcinoma	enrichment	A549	CVCL_0023	A549	3	140114_TripSil-glycopep_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	1.0 Da	1.0 Da	35% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140114_TripSil-glycopep_03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001999/140114_TripSil-glycopep_03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	lung
140730_A549_KRASkd_SAX_pH3	homo sapiens	lung	A549 cell	Non-small cell lung carcinoma	enrichment	A549	CVCL_0023	A549	1	140730_A549_KRASkd_SAX_pH3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	1.0 Da	1.0 Da	35% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140730_A549_KRASkd_SAX_pH3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001999/140730_A549_KRASkd_SAX_pH3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	lung
140730_A549_KRASkd_SAX_pH4	homo sapiens	lung	A549 cell	Non-small cell lung carcinoma	enrichment	A549	CVCL_0023	A549	1	140730_A549_KRASkd_SAX_pH4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	1.0 Da	1.0 Da	35% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140730_A549_KRASkd_SAX_pH4.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001999/140730_A549_KRASkd_SAX_pH4.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	lung
140730_A549_KRASkd_SAX_pH8	homo sapiens	lung	A549 cell	Non-small cell lung carcinoma	enrichment	A549	CVCL_0023	A549	1	140730_A549_KRASkd_SAX_pH8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	1.0 Da	1.0 Da	35% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140730_A549_KRASkd_SAX_pH8.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001999/140730_A549_KRASkd_SAX_pH8.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	lung
140114_TripSil-glycopep_01	homo sapiens	lung	A549 cell	Non-small cell lung carcinoma	enrichment	A549	CVCL_0023	A549	1	140114_TripSil-glycopep_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	1.0 Da	1.0 Da	35% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140114_TripSil-glycopep_01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001999/140114_TripSil-glycopep_01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	lung
140114_TripSil-glycopep_02	homo sapiens	lung	A549 cell	Non-small cell lung carcinoma	enrichment	A549	CVCL_0023	A549	2	140114_TripSil-glycopep_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	1.0 Da	1.0 Da	35% NCE	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140114_TripSil-glycopep_02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD001999/140114_TripSil-glycopep_02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	lung
