source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
sample_Time0_rep1	Nitrosophilus labii	whole cell	not applicable	not available	1	run 1	proteomic profiling by mass spectrometry	20240214_UWPRQE_Mino_HRV44_0hr_1_05.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
sample_Time0_rep2	Nitrosophilus labii	whole cell	not applicable	not available	2	run 1	proteomic profiling by mass spectrometry	20240214_UWPRQE_Mino_HRV44_0hr_2_07.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
sample_Time0_rep3	Nitrosophilus labii	whole cell	not applicable	not available	3	run 1	proteomic profiling by mass spectrometry	20240214_UWPRQE_Mino_HRV44_0hr_3_09.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
sample_Time3	Nitrosophilus labii	whole cell	not applicable	not available	1	run 1	proteomic profiling by mass spectrometry	20240214_UWPRQE_Mino_HRV44_3hr_1_08.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
sample_Time6	Nitrosophilus labii	whole cell	not applicable	not available	1	run 1	proteomic profiling by mass spectrometry	20240214_UWPRQE_Mino_HRV44_6hr_1_11.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
sample_Time24	Nitrosophilus labii	whole cell	not applicable	not available	1	run 1	proteomic profiling by mass spectrometry	20240214_UWPRQE_Mino_HRV44_24hr_1_06.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
sample_MMJHS_2	Nitrosophilus labii	whole cell	not applicable	not available	1	run 1	proteomic profiling by mass spectrometry	20240214_UWPRQE_Mino_HRV44_MMJHS_2_12.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
sample_MMJHS_3	Nitrosophilus labii	whole cell	not applicable	not available	2	run 1	proteomic profiling by mass spectrometry	20240214_UWPRQE_Mino_HRV44_MMJHS_3_13.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
sample_MMJHS_1	Nitrosophilus labii	whole cell	not applicable	not available	3	run 1	proteomic profiling by mass spectrometry	20240214_UWPRQE_Mino_HRV44_MMJHS_3_14.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive Plus;AC=MS:1002634	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
