source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]
230215_BMVEC_1_A6	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230215_BMVEC_1_rep1_A6_1_4705	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230215_BMVEC_1_rep1_A6_1_4705.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230215_BMVEC_1_A6	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230215_BMVEC_1_rep2_A6_1_4706	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230215_BMVEC_1_rep2_A6_1_4706.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230310_hepatocyte_100ug_B1	Homo sapiens	liver	hepatocyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230310_hepatocyte_100ug_InjRep1_B1_1_4834	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230310_hepatocyte_100ug_InjRep1_B1_1_4834.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	hepatocyte
230310_hepatocyte_100ug_B1	Homo sapiens	liver	hepatocyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230310_hepatocyte_100ug_InjRep2_B1_1_4835	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230310_hepatocyte_100ug_InjRep2_B1_1_4835.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	hepatocyte
230515_pericytes_round2_D2	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230515_pericytes_round2_rep1_D2_1_5522	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230515_pericytes_round2_rep1_D2_1_5522.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	pericyte
230515_pericytes_round2_D2	Homo sapiens	blood brain barrier	pericyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230515_pericytes_round2_rep2_D2_1_5523	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230515_pericytes_round2_rep2_D2_1_5523.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	pericyte
230515_untreatedBMVEC_A5	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230515_untreatedBMVEC_rep1.1_A5_1_5515	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230515_untreatedBMVEC_rep1.1_A5_1_5515.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230515_untreatedBMVEC_A5	Homo sapiens	blood brain barrier	brain microvascular endothelial cell	normal	adult	not available	not available	not available	not applicable	cell	1	run 230515_untreatedBMVEC_rep1.2_A5_1_5516	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230515_untreatedBMVEC_rep1.2_A5_1_5516.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	brain microvascular endothelial cell
230526_AstroP1_B1	Homo sapiens	blood brain barrier	astrocyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230526_AstroP1_rep1_B1_1_5660	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	230526_AstroP1_rep1_B1_1_5660.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	astrocyte
230526_AstroP1_B1	Homo sapiens	blood brain barrier	astrocyte	normal	adult	not available	not available	not available	not applicable	cell	1	run 230526_AstroP1_rep2_B1_1_5661	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Methylthio;MT=Fixed;TA=C;AC=UNIMOD:39	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	230526_AstroP1_rep2_B1_1_5661.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	astrocyte
